# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
0 0 -5000 0 0 200 0 -13 -2 1 0 1 0 0 0.00405065 0 0 0 
0 0 -4995 0 0 200 0.0188625 -13 -2 1 0 1 0 0 0.00406281 0 0 0 
0 0 -4990 0 0 200 0.0377251 -13 -2 1 0 1 0 0 0.00407496 0 0 0 
0 0 -4985 0 0 200 0.0565876 -13 -2 1 0 1 0 0 0.00408711 0 0 0 
0 0 -4980 0 0 200 0.0754502 -13 -2 1 0 1 0 0 0.0040994 0 0 0 
0 0 -4975 0 0 200 0.0943127 -13 -2 1 0 1 0 0 0.0041117 0 0 0 
0 0 -4970 0 0 200 0.113175 -13 -2 1 0 1 0 0 0.00412401 0 0 0 
0 0 -4965 0 0 200 0.132038 -13 -2 1 0 1 0 0 0.00413643 0 0 0 
0 0 -4960 0 0 200 0.1509 -13 -2 1 0 1 0 0 0.00414889 0 0 0 
0 0 -4955 0 0 200 0.169763 -13 -2 1 0 1 0 0 0.00416135 0 0 0 
0 0 -4950 0 0 200 0.188625 -13 -2 1 0 1 0 0 0.0041739 0 0 0 
0 0 -4945 0 0 200 0.207488 -13 -2 1 0 1 0 0 0.00418652 0 0 0 
0 0 -4940 0 0 200 0.226351 -13 -2 1 0 1 0 0 0.00419914 0 0 0 
0 0 -4935 0 0 200 0.245213 -13 -2 1 0 1 0 0 0.00421183 0 0 0 
0 0 -4930 0 0 200 0.264076 -13 -2 1 0 1 0 0 0.00422461 0 0 0 
0 0 -4925 0 0 200 0.282938 -13 -2 1 0 1 0 0 0.00423738 0 0 0 
0 0 -4920 0 0 200 0.301801 -13 -2 1 0 1 0 0 0.00425022 0 0 0 
0 0 -4915 0 0 200 0.320663 -13 -2 1 0 1 0 0 0.00426316 0 0 0 
0 0 -4910 0 0 200 0.339526 -13 -2 1 0 1 0 0 0.0042761 0 0 0 
0 0 -4905 0 0 200 0.358388 -13 -2 1 0 1 0 0 0.00428907 0 0 0 
0 0 -4900 0 0 200 0.377251 -13 -2 1 0 1 0 0 0.00430218 0 0 0 
0 0 -4895 0 0 200 0.396113 -13 -2 1 0 1 0 0 0.00431528 0 0 0 
0 0 -4890 0 0 200 0.414976 -13 -2 1 0 1 0 0 0.0043284 0 0 0 
0 0 -4885 0 0 200 0.433838 -13 -2 1 0 1 0 0 0.00434167 0 0 0 
0 0 -4880 0 0 200 0.452701 -13 -2 1 0 1 0 0 0.00435494 0 0 0 
0 0 -4875 0 0 200 0.471564 -13 -2 1 0 1 0 0 0.00436821 0 0 0 
0 0 -4870 0 0 200 0.490426 -13 -2 1 0 1 0 0 0.00438165 0 0 0 
0 0 -4865 0 0 200 0.509289 -13 -2 1 0 1 0 0 0.00439509 0 0 0 
0 0 -4860 0 0 200 0.528151 -13 -2 1 0 1 0 0 0.00440853 0 0 0 
0 0 -4855 0 0 200 0.547014 -13 -2 1 0 1 0 0 0.00442212 0 0 0 
0 0 -4850 0 0 200 0.565876 -13 -2 1 0 1 0 0 0.00443573 0 0 0 
0 0 -4845 0 0 200 0.584739 -13 -2 1 0 1 0 0 0.00444934 0 0 0 
0 0 -4840 0 0 200 0.603601 -13 -2 1 0 1 0 0 0.00446309 0 0 0 
0 0 -4835 0 0 200 0.622464 -13 -2 1 0 1 0 0 0.00447687 0 0 0 
0 0 -4830 0 0 200 0.641326 -13 -2 1 0 1 0 0 0.00449066 0 0 0 
0 0 -4825 0 0 200 0.660189 -13 -2 1 0 1 0 0 0.00450456 0 0 0 
0 0 -4820 0 0 200 0.679052 -13 -2 1 0 1 0 0 0.00451852 0 0 0 
0 0 -4815 0 0 200 0.697914 -13 -2 1 0 1 0 0 0.00453249 0 0 0 
0 0 -4810 0 0 200 0.716777 -13 -2 1 0 1 0 0 0.00454654 0 0 0 
0 0 -4805 0 0 200 0.735639 -13 -2 1 0 1 0 0 0.00456069 0 0 0 
0 0 -4800 0 0 200 0.754502 -13 -2 1 0 1 0 0 0.00457484 0 0 0 
0 0 -4795 0 0 200 0.773364 -13 -2 1 0 1 0 0 0.00458905 0 0 0 
0 0 -4790 0 0 200 0.792227 -13 -2 1 0 1 0 0 0.00460338 0 0 0 
0 0 -4785 0 0 200 0.811089 -13 -2 1 0 1 0 0 0.00461771 0 0 0 
0 0 -4780 0 0 200 0.829952 -13 -2 1 0 1 0 0 0.00463209 0 0 0 
0 0 -4775 0 0 200 0.848814 -13 -2 1 0 1 0 0 0.00464661 0 0 0 
0 0 -4770 0 0 200 0.867677 -13 -2 1 0 1 0 0 0.00466112 0 0 0 
0 0 -4765 0 0 200 0.88654 -13 -2 1 0 1 0 0 0.00467566 0 0 0 
0 0 -4760 0 0 200 0.905402 -13 -2 1 0 1 0 0 0.00469037 0 0 0 
0 0 -4755 0 0 200 0.924265 -13 -2 1 0 1 0 0 0.00470508 0 0 0 
0 0 -4750 0 0 200 0.943127 -13 -2 1 0 1 0 0 0.00471979 0 0 0 
0 0 -4745 0 0 200 0.96199 -13 -2 1 0 1 0 0 0.00473469 0 0 0 
0 0 -4740 0 0 200 0.980852 -13 -2 1 0 1 0 0 0.00474959 0 0 0 
0 0 -4735 0 0 200 0.999715 -13 -2 1 0 1 0 0 0.00476449 0 0 0 
0 0 -4730 0 0 200 1.01858 -13 -2 1 0 1 0 0 0.00477956 0 0 0 
0 0 -4725 0 0 200 1.03744 -13 -2 1 0 1 0 0 0.00479466 0 0 0 
0 0 -4720 0 0 200 1.0563 -13 -2 1 0 1 0 0 0.00480975 0 0 0 
0 0 -4715 0 0 200 1.07516 -13 -2 1 0 1 0 0 0.004825 0 0 0 
0 0 -4710 0 0 200 1.09403 -13 -2 1 0 1 0 0 0.0048403 0 0 0 
0 0 -4705 0 0 200 1.11289 -13 -2 1 0 1 0 0 0.00485559 0 0 0 
0 0 -4700 0 0 200 1.13175 -13 -2 1 0 1 0 0 0.00487101 0 0 0 
0 0 -4695 0 0 200 1.15062 -13 -2 1 0 1 0 0 0.00488651 0 0 0 
0 0 -4690 0 0 200 1.16948 -13 -2 1 0 1 0 0 0.00490201 0 0 0 
0 0 -4685 0 0 200 1.18834 -13 -2 1 0 1 0 0 0.00491761 0 0 0 
0 0 -4680 0 0 200 1.2072 -13 -2 1 0 1 0 0 0.00493332 0 0 0 
0 0 -4675 0 0 200 1.22607 -13 -2 1 0 1 0 0 0.00494903 0 0 0 
0 0 -4670 0 0 200 1.24493 -13 -2 1 0 1 0 0 0.00496481 0 0 0 
0 0 -4665 0 0 200 1.26379 -13 -2 1 0 1 0 0 0.00498072 0 0 0 
0 0 -4660 0 0 200 1.28265 -13 -2 1 0 1 0 0 0.00499664 0 0 0 
0 0 -4655 0 0 200 1.30152 -13 -2 1 0 1 0 0 0.00501261 0 0 0 
0 0 -4650 0 0 200 1.32038 -13 -2 1 0 1 0 0 0.00502873 0 0 0 
0 0 -4645 0 0 200 1.33924 -13 -2 1 0 1 0 0 0.00504486 0 0 0 
0 0 -4640 0 0 200 1.3581 -13 -2 1 0 1 0 0 0.00506102 0 0 0 
0 0 -4635 0 0 200 1.37697 -13 -2 1 0 1 0 0 0.00507736 0 0 0 
0 0 -4630 0 0 200 1.39583 -13 -2 1 0 1 0 0 0.00509371 0 0 0 
0 0 -4625 0 0 200 1.41469 -13 -2 1 0 1 0 0 0.00511005 0 0 0 
0 0 -4620 0 0 200 1.43355 -13 -2 1 0 1 0 0 0.00512662 0 0 0 
0 0 -4615 0 0 200 1.45242 -13 -2 1 0 1 0 0 0.00514318 0 0 0 
0 0 -4610 0 0 200 1.47128 -13 -2 1 0 1 0 0 0.00515975 0 0 0 
0 0 -4605 0 0 200 1.49014 -13 -2 1 0 1 0 0 0.00517651 0 0 0 
0 0 -4600 0 0 200 1.509 -13 -2 1 0 1 0 0 0.0051933 0 0 0 
0 0 -4595 0 0 200 1.52787 -13 -2 1 0 1 0 0 0.00521009 0 0 0 
0 0 -4590 0 0 200 1.54673 -13 -2 1 0 1 0 0 0.00522705 0 0 0 
0 0 -4585 0 0 200 1.56559 -13 -2 1 0 1 0 0 0.00524406 0 0 0 
0 0 -4580 0 0 200 1.58445 -13 -2 1 0 1 0 0 0.00526108 0 0 0 
0 0 -4575 0 0 200 1.60332 -13 -2 1 0 1 0 0 0.00527824 0 0 0 
0 0 -4570 0 0 200 1.62218 -13 -2 1 0 1 0 0 0.00529549 0 0 0 
0 0 -4565 0 0 200 1.64104 -13 -2 1 0 1 0 0 0.00531274 0 0 0 
0 0 -4560 0 0 200 1.6599 -13 -2 1 0 1 0 0 0.00533011 0 0 0 
0 0 -4555 0 0 200 1.67877 -13 -2 1 0 1 0 0 0.00534759 0 0 0 
0 0 -4550 0 0 200 1.69763 -13 -2 1 0 1 0 0 0.00536508 0 0 0 
0 0 -4545 0 0 200 1.71649 -13 -2 1 0 1 0 0 0.00538265 0 0 0 
0 0 -4540 0 0 200 1.73535 -13 -2 1 0 1 0 0 0.00540037 0 0 0 
0 0 -4535 0 0 200 1.75422 -13 -2 1 0 1 0 0 0.0054181 0 0 0 
0 0 -4530 0 0 200 1.77308 -13 -2 1 0 1 0 0 0.00543588 0 0 0 
0 0 -4525 0 0 200 1.79194 -13 -2 1 0 1 0 0 0.00545385 0 0 0 
0 0 -4520 0 0 200 1.8108 -13 -2 1 0 1 0 0 0.00547182 0 0 0 
0 0 -4515 0 0 200 1.82967 -13 -2 1 0 1 0 0 0.00548982 0 0 0 
0 0 -4510 0 0 200 1.84853 -13 -2 1 0 1 0 0 0.00550804 0 0 0 
0 0 -4505 0 0 200 1.86739 -13 -2 1 0 1 0 0 0.00552625 0 0 0 
0 0 -4500 0 0 200 1.88625 -13 -2 1 0 1 0 0 0.00554447 0 0 0 
0 0 -4495 0 0 200 1.90512 -13 -2 1 0 1 0 0 0.00556294 0 0 0 
0 0 -4490 0 0 200 1.92398 -13 -2 1 0 1 0 0 0.0055814 0 0 0 
0 0 -4485 0 0 200 1.94284 -13 -2 1 0 1 0 0 0.00559987 0 0 0 
0 0 -4480 0 0 200 1.9617 -13 -2 1 0 1 0 0 0.00561857 0 0 0 
0 0 -4475 0 0 200 1.98057 -13 -2 1 0 1 0 0 0.00563729 0 0 0 
0 0 -4470 0 0 200 1.99943 -13 -2 1 0 1 0 0 0.00565602 0 0 0 
0 0 -4465 0 0 200 2.01829 -13 -2 1 0 1 0 0 0.00567494 0 0 0 
0 0 -4460 0 0 200 2.03715 -13 -2 1 0 1 0 0 0.00569392 0 0 0 
0 0 -4455 0 0 200 2.05602 -13 -2 1 0 1 0 0 0.00571291 0 0 0 
0 0 -4450 0 0 200 2.07488 -13 -2 1 0 1 0 0 0.00573206 0 0 0 
0 0 -4445 0 0 200 2.09374 -13 -2 1 0 1 0 0 0.00575131 0 0 0 
0 0 -4440 0 0 200 2.1126 -13 -2 1 0 1 0 0 0.00577057 0 0 0 
0 0 -4435 0 0 200 2.13147 -13 -2 1 0 1 0 0 0.00578995 0 0 0 
0 0 -4430 0 0 200 2.15033 -13 -2 1 0 1 0 0 0.00580948 0 0 0 
0 0 -4425 0 0 200 2.16919 -13 -2 1 0 1 0 0 0.005829 0 0 0 
0 0 -4420 0 0 200 2.18805 -13 -2 1 0 1 0 0 0.00584862 0 0 0 
0 0 -4415 0 0 200 2.20692 -13 -2 1 0 1 0 0 0.00586842 0 0 0 
0 0 -4410 0 0 200 2.22578 -13 -2 1 0 1 0 0 0.00588822 0 0 0 
0 0 -4405 0 0 200 2.24464 -13 -2 1 0 1 0 0 0.00590809 0 0 0 
0 0 -4400 0 0 200 2.26351 -13 -2 1 0 1 0 0 0.00592816 0 0 0 
0 0 -4395 0 0 200 2.28237 -13 -2 1 0 1 0 0 0.00594824 0 0 0 
0 0 -4390 0 0 200 2.30123 -13 -2 1 0 1 0 0 0.00596836 0 0 0 
0 0 -4385 0 0 200 2.32009 -13 -2 1 0 1 0 0 0.00598872 0 0 0 
0 0 -4380 0 0 200 2.33896 -13 -2 1 0 1 0 0 0.00600908 0 0 0 
0 0 -4375 0 0 200 2.35782 -13 -2 1 0 1 0 0 0.00602944 0 0 0 
0 0 -4370 0 0 200 2.37668 -13 -2 1 0 1 0 0 0.0060501 0 0 0 
0 0 -4365 0 0 200 2.39554 -13 -2 1 0 1 0 0 0.00607075 0 0 0 
0 0 -4360 0 0 200 2.41441 -13 -2 1 0 1 0 0 0.0060914 0 0 0 
0 0 -4355 0 0 200 2.43327 -13 -2 1 0 1 0 0 0.00611231 0 0 0 
0 0 -4350 0 0 200 2.45213 -13 -2 1 0 1 0 0 0.00613326 0 0 0 
0 0 -4345 0 0 200 2.47099 -13 -2 1 0 1 0 0 0.00615421 0 0 0 
0 0 -4340 0 0 200 2.48986 -13 -2 1 0 1 0 0 0.00617538 0 0 0 
0 0 -4335 0 0 200 2.50872 -13 -2 1 0 1 0 0 0.00619663 0 0 0 
0 0 -4330 0 0 200 2.52758 -13 -2 1 0 1 0 0 0.00621788 0 0 0 
0 0 -4325 0 0 200 2.54644 -13 -2 1 0 1 0 0 0.00623932 0 0 0 
0 0 -4320 0 0 200 2.56531 -13 -2 1 0 1 0 0 0.00626087 0 0 0 
0 0 -4315 0 0 200 2.58417 -13 -2 1 0 1 0 0 0.00628242 0 0 0 
0 0 -4310 0 0 200 2.60303 -13 -2 1 0 1 0 0 0.00630413 0 0 0 
0 0 -4305 0 0 200 2.62189 -13 -2 1 0 1 0 0 0.006326 0 0 0 
