# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
0 0 0 0 0 200 0 -13 -2 1 0 1 -4.59957e-23 -2.46315e-07 0.0010097 0 0 0 
4.61974e-13 -1.16722e-18 0.0005 3.69217e-11 -1.39703e-20 200 1.88625e-06 -13 -2 1 0 1 -1.38817e-19 -2.46315e-07 0.00100971 0 0 0 
4.62113e-09 -1.16769e-14 5.0005 3.69797e-07 -1.40216e-12 200 0.0188644 -13 -2 1 0 1 -1.39402e-15 -2.47039e-07 0.00101272 0 0 0 
1.84994e-08 -9.3636e-14 10.0005 7.40642e-07 -5.62754e-12 200 0.037727 -13 -2 1 0 1 -5.60271e-15 -2.47764e-07 0.00101574 0 0 0 
4.16623e-08 -3.16825e-13 15.0005 1.11258e-06 -1.27055e-11 200 0.0565895 -13 -2 1 0 1 -1.2668e-14 -2.48491e-07 0.00101877 0 0 0 
7.41373e-08 -7.52929e-13 20.0005 1.4856e-06 -2.26657e-11 200 0.0754521 -13 -2 1 0 1 -2.26323e-14 -2.49223e-07 0.00102182 0 0 0 
1.15952e-07 -1.47438e-12 25.0005 1.85973e-06 -3.55379e-11 200 0.0943146 -13 -2 1 0 1 -3.55381e-14 -2.49956e-07 0.00102488 0 0 0 
1.67133e-07 -2.55434e-12 30.0005 2.23495e-06 -5.13525e-11 200 0.113177 -13 -2 1 0 1 -5.1429e-14 -2.50692e-07 0.00102795 0 0 0 
2.27708e-07 -4.06677e-12 35.0005 2.61129e-06 -7.01398e-11 200 0.13204 -13 -2 1 0 1 -7.03489e-14 -2.51433e-07 0.00103104 0 0 0 
2.97706e-07 -6.08637e-12 40.0005 2.98873e-06 -9.19307e-11 200 0.150902 -13 -2 1 0 1 -9.23416e-14 -2.52173e-07 0.00103413 0 0 0 
3.77154e-07 -8.6886e-12 45.0005 3.36729e-06 -1.16756e-10 200 0.169765 -13 -2 1 0 1 -1.17453e-13 -2.52919e-07 0.00103724 0 0 0 
