#BLTrackFile VirtualDetector/Det9
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
22.7292 16.7702 33600.5 -38.3462 6.40986 196.187 129.101 -13 1 1 0 1
-10.4861 4.19537 33600.5 5.97993 -17.5085 199.144 129.019 -13 2 1 0 1
26.2698 -53.3991 33600.5 23.0298 7.69495 198.523 127.276 -13 3 1 0 1
-35.7499 -62.0985 33600.5 34.7482 12.8155 196.543 128.418 -13 4 1 0 1
-117.706 60.001 33600.5 34.1401 -58.1063 188.307 134.025 -13 5 1 0 1
-24.8384 -9.33218 33600.5 7.75708 -6.63775 199.74 127.298 -13 6 1 0 1
76.6345 79.1031 33600.5 -50.5481 3.1132 193.484 130.678 -13 8 1 0 1
-20.3928 9.65271 33600.5 9.23346 -1.28433 199.784 126.616 -13 9 1 0 1
-52.019 1.51973 33600.5 -11.1662 -19.8391 198.702 128.094 -13 10 1 0 1
64.3755 -92.7752 33600.5 11.3417 34.1132 196.745 130.383 -13 11 1 0 1
-93.5704 9.76848 33600.5 19.2659 -22.4668 197.8 128.747 -13 12 1 0 1
-26.7369 19.1994 33600.5 -3.10929 -11.3613 199.654 128.501 -13 13 1 0 1
-40.5843 -66.4697 33600.5 31.7853 3.6097 197.427 129.01 -13 14 1 0 1
17.8399 -9.52692 33600.5 13.7579 -10.108 199.272 125.581 -13 15 1 0 1
-7.58318 49.0461 33600.5 -7.13079 18.6148 199.006 128.882 -13 16 1 0 1
-76.4132 26.7163 33600.5 -12.1242 -26.2182 197.905 129.434 -13 17 1 0 1
-17.7197 14.8111 33600.5 -7.95248 18.3882 198.996 127.792 -13 18 1 0 1
22.0459 60.8104 33600.5 -5.01024 13.8499 199.459 128.034 -13 19 1 0 1
-5.03352 8.30915 33600.5 7.49833 -13.9712 199.372 127.578 -13 20 1 0 1
-13.5607 -0.721829 33600.5 2.65325 8.73882 199.792 125.769 -13 21 1 0 1
-10.4763 -70.9469 33600.5 22.5234 11.2858 198.409 126.811 -13 22 1 0 1
109.468 12.6477 33600.5 -30.45 29.1055 195.516 131.58 -13 23 1 0 1
-56.6881 -57.7582 33600.5 28.8612 3.42221 197.879 129.294 -13 24 1 0 1
53.3934 -14.6253 33600.5 11.6564 16.6363 198.968 126.489 -13 25 1 0 1
25.1559 35.2186 33600.5 -32.5071 -17.5642 196.56 129.21 -13 26 1 0 1
53.4325 -46.4304 33600.5 34.4603 2.76508 196.992 128.664 -13 27 1 0 1
-15.5106 39.6346 33600.5 -13.014 15.3266 198.989 127.186 -13 28 1 0 1
-35.3623 1.17482 33600.5 38.9485 0.930164 196.171 128.952 -13 29 1 0 1
5.7848 31.8708 33600.5 -19.5152 2.95375 199.026 126.948 -13 30 1 0 1
84.2465 47.046 33600.5 7.61878 46.6166 194.345 130.378 -13 31 1 0 1
60.2343 3.02208 33600.5 -25.1724 26.9937 196.567 128.608 -13 32 1 0 1
-66.0755 42.6285 33600.5 -17.3397 -10.9613 198.947 127.548 -13 33 1 0 1
-4.62696 95.7843 33600.5 -22.2547 -17.607 197.979 128.02 -13 34 1 0 1
1.74509 29.2599 33600.5 7.80065 13.9661 199.361 128.005 -13 35 1 0 1
6.61465 36.8524 33600.5 -0.191668 21.3644 198.858 127.934 -13 36 1 0 1
-4.96669 11.0129 33600.5 4.9458 3.12879 199.915 127.75 -13 37 1 0 1
-50.5433 76.8975 33600.5 -20.5367 -12.5314 198.55 128.826 -13 38 1 0 1
25.3909 43.5917 33600.5 3.26198 16.1138 199.325 125.734 -13 39 1 0 1
