# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
20 0 -5000 0 0 200 0 -13 -2 1 0 1 -2.41534e-05 2.08175e-06 0.00405043 0 0 0 
20 -9.29684e-10 -5000 -3.12046e-10 -3.62051e-09 200 1.88625e-06 -13 -2 1 0 1 -2.41534e-05 2.08175e-06 0.00405043 0 0 0 
20 -0.00018594 -4900 -6.45354e-05 -0.000753817 200 0.377253 -13 -2 1 0 1 -2.61703e-05 2.20961e-06 0.00430194 0 0 0 
19.9999 -0.000764403 -4800 -0.000133602 -0.00157117 200 0.754504 -13 -2 1 0 1 -2.84007e-05 2.34851e-06 0.00457457 0 0 0 
19.9998 -0.00176884 -4700 -0.00020767 -0.00245891 200 1.13175 -13 -2 1 0 1 -3.08737e-05 2.49993e-06 0.00487072 0 0 0 
19.9997 -0.00323633 -4600 -0.000287275 -0.00342475 200 1.50901 -13 -2 1 0 1 -3.36215e-05 2.6654e-06 0.00519297 0 0 0 
19.9996 -0.00520806 -4500 -0.000373031 -0.00447745 200 1.88626 -13 -2 1 0 1 -3.66797e-05 2.84643e-06 0.0055441 0 0 0 
19.9994 -0.00772991 -4400 -0.000465643 -0.00562698 200 2.26351 -13 -2 1 0 1 -4.00953e-05 3.04555e-06 0.00592776 0 0 0 
19.9991 -0.0108531 -4300 -0.000565926 -0.00688469 200 2.64076 -13 -2 1 0 1 -4.3915e-05 3.26464e-06 0.00634741 0 0 0 
19.9988 -0.0146348 -4200 -0.000674827 -0.00826361 200 3.01801 -13 -2 1 0 1 -4.81999e-05 3.50675e-06 0.00680757 0 0 0 
19.9984 -0.0191393 -4100 -0.000793447 -0.00977863 200 3.39526 -13 -2 1 0 1 -5.30195e-05 3.77521e-06 0.00731325 0 0 0 
19.998 -0.024439 -4000 -0.000923084 -0.0114469 200 3.77251 -13 -2 1 0 1 -5.84523e-05 4.07352e-06 0.00786992 0 0 0 
19.9975 -0.0306151 -3900 -0.00106526 -0.0132884 200 4.14976 -13 -2 1 0 1 -6.46016e-05 4.4072e-06 0.00848477 0 0 0 
19.9969 -0.03776 -3800 -0.00122178 -0.0153258 200 4.52701 -13 -2 1 0 1 -7.1575e-05 4.78099e-06 0.0091649 0 0 0 
19.9963 -0.045978 -3700 -0.00139481 -0.0175861 200 4.90426 -13 -2 1 0 1 -7.9513e-05 5.20214e-06 0.00991956 0 0 0 
19.9955 -0.0553884 -3600 -0.00158694 -0.0201004 200 5.28151 -13 -2 1 0 1 -8.85797e-05 5.67897e-06 0.0107592 0 0 0 
