# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
20 0 -5000 0 0 200 0 -13 -2 1 0 1 -2.41529e-05 1.38783e-05 0.00405034 0 0 0 
20 -9.29569e-10 -5000 -2.0803e-09 -3.62043e-09 200 1.88625e-06 -13 -2 1 0 1 -2.41529e-05 1.38783e-05 0.00405034 0 0 0 
19.9999 -0.000185917 -4900 -0.000428888 -0.000753684 200 0.377253 -13 -2 1 0 1 -2.61695e-05 1.47292e-05 0.00430183 0 0 0 
19.9996 -0.000764227 -4800 -0.000884847 -0.00157064 200 0.754504 -13 -2 1 0 1 -2.83995e-05 1.56505e-05 0.00457446 0 0 0 
19.999 -0.00176823 -4700 -0.00137025 -0.00245766 200 1.13175 -13 -2 1 0 1 -3.08717e-05 1.66506e-05 0.00487061 0 0 0 
19.9982 -0.00323483 -4600 -0.0018877 -0.00342237 200 1.50901 -13 -2 1 0 1 -3.36181e-05 1.77384e-05 0.00519285 0 0 0 
19.9971 -0.005205 -4500 -0.00244015 -0.00447347 200 1.88626 -13 -2 1 0 1 -3.66744e-05 1.8922e-05 0.00554398 0 0 0 
19.9957 -0.00772433 -4400 -0.00303087 -0.00562081 200 2.26351 -13 -2 1 0 1 -4.00872e-05 2.02158e-05 0.00592762 0 0 0 
19.9941 -0.0108437 -4300 -0.00366352 -0.00687562 200 2.64076 -13 -2 1 0 1 -4.3903e-05 2.16291e-05 0.00634726 0 0 0 
19.9921 -0.01462 -4200 -0.00434227 -0.00825078 200 3.01801 -13 -2 1 0 1 -4.81828e-05 2.31785e-05 0.00680743 0 0 0 
19.9897 -0.019117 -4100 -0.00507176 -0.00976098 200 3.39526 -13 -2 1 0 1 -5.29955e-05 2.48806e-05 0.0073131 0 0 0 
19.987 -0.0244063 -4000 -0.00585732 -0.0114232 200 3.77251 -13 -2 1 0 1 -5.84193e-05 2.67522e-05 0.00786977 0 0 0 
19.9839 -0.0305688 -3900 -0.00670495 -0.013257 200 4.14976 -13 -2 1 0 1 -6.45568e-05 2.88213e-05 0.00848461 0 0 0 
19.9803 -0.0376956 -3800 -0.00762152 -0.0152849 200 4.52701 -13 -2 1 0 1 -7.15148e-05 3.11079e-05 0.00916474 0 0 0 
19.9762 -0.0458904 -3700 -0.00861495 -0.0175334 200 4.90426 -13 -2 1 0 1 -7.9433e-05 3.36458e-05 0.00991941 0 0 0 
19.9716 -0.0552709 -3600 -0.00969425 -0.020033 200 5.28151 -13 -2 1 0 1 -8.84741e-05 3.64706e-05 0.0107591 0 0 0 
