# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
20 0 -5000 0 0 200 0 -13 -2 1 0 1 -2.3931e-05 0.000276857 0.00401282 0 0 0 
20 -9.18949e-10 -5000 -4.14998e-08 -3.58717e-09 200 1.88625e-06 -13 -2 1 0 1 -2.3931e-05 0.000276857 0.00401282 0 0 0 
19.9979 -0.000183793 -4900 -0.00855144 -0.000744223 200 0.377253 -13 -2 1 0 1 -2.59269e-05 0.000293833 0.00426204 0 0 0 
19.9914 -0.000753699 -4800 -0.0176328 -0.00154532 200 0.754504 -13 -2 1 0 1 -2.81283e-05 0.000312207 0.00453224 0 0 0 
19.9802 -0.00173949 -4700 -0.0272887 -0.0024087 200 1.13175 -13 -2 1 0 1 -3.05613e-05 0.000332141 0.00482575 0 0 0 
19.964 -0.00317377 -4600 -0.0375682 -0.00334036 200 1.50901 -13 -2 1 0 1 -3.32558e-05 0.000353813 0.00514517 0 0 0 
19.9425 -0.00509234 -4500 -0.048526 -0.00434702 200 1.88626 -13 -2 1 0 1 -3.62435e-05 0.00037737 0.00549324 0 0 0 
19.9153 -0.00753454 -4400 -0.0602229 -0.00543618 200 2.26351 -13 -2 1 0 1 -3.95645e-05 0.000403058 0.00587339 0 0 0 
19.8821 -0.0105437 -4300 -0.0727264 -0.00661618 200 2.64076 -13 -2 1 0 1 -4.32642e-05 0.000431133 0.00628945 0 0 0 
19.8424 -0.0141674 -4200 -0.0861118 -0.00789639 200 3.01801 -13 -2 1 0 1 -4.73925e-05 0.000461836 0.00674555 0 0 0 
19.7958 -0.0184585 -4100 -0.100464 -0.00928736 200 3.39526 -13 -2 1 0 1 -5.2011e-05 0.000495516 0.00724679 0 0 0 
19.7418 -0.0234752 -4000 -0.115877 -0.0108008 200 3.77251 -13 -2 1 0 1 -5.71905e-05 0.000532547 0.00779891 0 0 0 
19.6798 -0.029282 -3900 -0.132457 -0.0124502 200 4.14976 -13 -2 1 0 1 -6.30098e-05 0.0005733 0.00840827 0 0 0 
19.6091 -0.0359505 -3800 -0.150325 -0.0142502 200 4.52701 -13 -2 1 0 1 -6.95674e-05 0.000618305 0.00908271 0 0 0 
19.5292 -0.0435601 -3700 -0.169616 -0.0162179 200 4.90426 -13 -2 1 0 1 -7.69764e-05 0.000668129 0.00983117 0 0 0 
19.4393 -0.0521995 -3600 -0.190485 -0.0183723 200 5.28151 -13 -2 1 0 1 -8.53631e-05 0.000723312 0.0106636 0 0 0 
19.3384 -0.0619671 -3500 -0.213105 -0.0207348 200 5.65876 -13 -2 1 0 1 -9.48901e-05 0.000784709 0.0115925 0 0 0 
19.2258 -0.072973 -3400 -0.237678 -0.0233298 200 6.03602 -13 -2 1 0 1 -0.000105744 0.000853207 0.0126323 0 0 0 
19.1004 -0.0853402 -3300 -0.264431 -0.0261846 200 6.41327 -13 -2 1 0 1 -0.00011814 0.000929743 0.0137995 0 0 0 
18.961 -0.0992061 -3200 -0.293629 -0.0293304 200 6.79052 -13 -2 1 0 1 -0.000132351 0.00101566 0.0151147 0 0 0 
18.8063 -0.114725 -3100 -0.325572 -0.0328022 200 7.16777 -13 -2 1 0 1 -0.000148694 0.00111239 0.0166019 0 0 0 
18.6349 -0.132069 -3000 -0.360614 -0.0366393 200 7.54502 -13 -2 1 0 1 -0.000167541 0.00122148 0.0182893 0 0 0 
18.4451 -0.151432 -2900 -0.399161 -0.0408862 200 7.92227 -13 -2 1 0 1 -0.000189371 0.00134522 0.0202129 0 0 0 
18.2351 -0.173032 -2800 -0.441688 -0.0455922 200 8.29952 -13 -2 1 0 1 -0.00021474 0.00148598 0.0224146 0 0 0 
18.0027 -0.19711 -2700 -0.488754 -0.0508121 199.999 8.67677 -13 -2 1 0 1 -0.000244303 0.00164633 0.0249448 0 0 0 
17.7455 -0.22394 -2600 -0.541016 -0.056606 199.999 9.05402 -13 -2 1 0 1 -0.000278928 0.00183029 0.0278694 0 0 0 
