# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
0 0 0 0 0 200 0 -13 -2 1 0 1 -1.83983e-22 -9.85262e-07 0.0010097 0 0 0 
1.8479e-12 -4.66891e-18 0.0005 1.47687e-10 -5.58814e-20 200 1.88625e-06 -13 -2 1 0 1 -5.55269e-19 -9.85262e-07 0.0010097 0 0 0 
1.84846e-08 -4.67078e-14 5.0005 1.47919e-06 -5.60867e-12 200 0.0188644 -13 -2 1 0 1 -5.57608e-15 -9.88161e-07 0.00101272 0 0 0 
7.39977e-08 -3.74545e-13 10.0005 2.96258e-06 -2.25102e-11 200 0.037727 -13 -2 1 0 1 -2.24109e-14 -9.9106e-07 0.00101574 0 0 0 
1.6665e-07 -1.2673e-12 15.0005 4.45032e-06 -5.08221e-11 200 0.0565895 -13 -2 1 0 1 -5.06721e-14 -9.93966e-07 0.00101877 0 0 0 
2.9655e-07 -3.01172e-12 20.0005 5.94243e-06 -9.06628e-11 200 0.0754521 -13 -2 1 0 1 -9.05293e-14 -9.96897e-07 0.00102182 0 0 0 
4.63808e-07 -5.89751e-12 25.0005 7.43893e-06 -1.42152e-10 200 0.0943146 -13 -2 1 0 1 -1.42153e-13 -9.99827e-07 0.00102488 0 0 0 
6.68534e-07 -1.02174e-11 30.0005 8.93985e-06 -2.0541e-10 200 0.113177 -13 -2 1 0 1 -2.05717e-13 -1.00277e-06 0.00102795 0 0 0 
9.10837e-07 -1.62671e-11 35.0005 1.04452e-05 -2.8056e-10 200 0.13204 -13 -2 1 0 1 -2.81397e-13 -1.00573e-06 0.00103103 0 0 0 
1.19083e-06 -2.43455e-11 40.0005 1.1955e-05 -3.67723e-10 200 0.150902 -13 -2 1 0 1 -3.69368e-13 -1.0087e-06 0.00103413 0 0 0 
1.50862e-06 -3.47544e-11 45.0005 1.34692e-05 -4.67025e-10 200 0.169765 -13 -2 1 0 1 -4.69812e-13 -1.01168e-06 0.00103724 0 0 0 
1.86433e-06 -4.7799e-11 50.0005 1.49879e-05 -5.7859e-10 200 0.188627 -13 -2 1 0 1 -5.82911e-13 -1.01468e-06 0.00104036 0 0 0 
2.25805e-06 -6.37872e-11 55.0005 1.65111e-05 -7.02545e-10 200 0.20749 -13 -2 1 0 1 -7.08843e-13 -1.01767e-06 0.00104349 0 0 0 
2.68992e-06 -8.30305e-11 60.0005 1.80388e-05 -8.39017e-10 200 0.226352 -13 -2 1 0 1 -8.47806e-13 -1.02069e-06 0.00104664 0 0 0 
3.16003e-06 -1.05843e-10 65.0005 1.95711e-05 -9.88135e-10 200 0.245215 -13 -2 1 0 1 -9.99976e-13 -1.02372e-06 0.0010498 0 0 0 
3.66851e-06 -1.32544e-10 70.0005 2.11079e-05 -1.15003e-09 200 0.264077 -13 -2 1 0 1 -1.16554e-12 -1.02675e-06 0.00105296 0 0 0 
4.21546e-06 -1.63452e-10 75.0005 2.26492e-05 -1.32483e-09 200 0.28294 -13 -2 1 0 1 -1.34472e-12 -1.02981e-06 0.00105615 0 0 0 
4.80101e-06 -1.98894e-10 80.0005 2.41952e-05 -1.51267e-09 200 0.301803 -13 -2 1 0 1 -1.53767e-12 -1.03287e-06 0.00105935 0 0 0 
5.42526e-06 -2.39196e-10 85.0005 2.57457e-05 -1.71368e-09 200 0.320665 -13 -2 1 0 1 -1.74461e-12 -1.03595e-06 0.00106255 0 0 0 
6.08833e-06 -2.84689e-10 90.0005 2.73009e-05 -1.92801e-09 200 0.339528 -13 -2 1 0 1 -1.96575e-12 -1.03904e-06 0.00106578 0 0 0 
6.79034e-06 -3.35708e-10 95.0005 2.88607e-05 -2.15577e-09 200 0.35839 -13 -2 1 0 1 -2.20126e-12 -1.04214e-06 0.00106901 0 0 0 
7.53141e-06 -3.92591e-10 100 3.04251e-05 -2.39712e-09 200 0.377253 -13 -2 1 0 1 -2.45137e-12 -1.04525e-06 0.00107226 0 0 0 
8.31164e-06 -4.55678e-10 105 3.19942e-05 -2.65218e-09 200 0.396115 -13 -2 1 0 1 -2.71629e-12 -1.04838e-06 0.00107552 0 0 0 
9.13116e-06 -5.25315e-10 110 3.35681e-05 -2.92111e-09 200 0.414978 -13 -2 1 0 1 -2.99619e-12 -1.05151e-06 0.00107879 0 0 0 
9.99008e-06 -6.0185e-10 115 3.51466e-05 -3.20403e-09 200 0.43384 -13 -2 1 0 1 -3.29134e-12 -1.05466e-06 0.00108208 0 0 0 
