# Ev4Trk1
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event 4 Track 1
2.67246 15.5865 0 6.89072 8.66347 199.693 0 -13 4 1 0 1 -0.00747527 -0.0435979 1.67971 0 0 0 
2.67248 15.5865 0.0005 6.89074 8.66346 199.693 1.88916e-06 -13 4 1 0 1 -0.00747533 -0.043598 1.67972 0 0 0 
2.84693 15.8019 4.99281 7.06632 8.56321 199.692 0.0188644 -13 4 1 0 1 -0.00808932 -0.0448997 1.70828 0 0 0 
3.02581 16.0147 9.98508 7.24438 8.45825 199.69 0.037727 -13 4 1 0 1 -0.00873152 -0.0462132 1.73685 0 0 0 
3.20917 16.2248 14.9773 7.42483 8.34842 199.688 0.0565895 -13 4 1 0 1 -0.00940272 -0.0475378 1.76541 0 0 0 
3.39707 16.432 19.9695 7.6076 8.23354 199.686 0.0754521 -13 4 1 0 1 -0.0101051 -0.0488798 1.79519 0 0 0 
3.58957 16.6364 24.9616 7.79266 8.11341 199.683 0.0943146 -13 4 1 0 1 -0.0108385 -0.0502327 1.82515 0 0 0 
3.78672 16.8377 29.9536 7.97989 7.98785 199.681 0.113177 -13 4 1 0 1 -0.0116034 -0.0515946 1.8551 0 0 0 
3.98858 17.0357 34.9456 8.16919 7.8567 199.679 0.13204 -13 4 1 0 1 -0.0124011 -0.0529665 1.8861 0 0 0 
4.1952 17.2305 39.9376 8.3605 7.71972 199.676 0.150902 -13 4 1 0 1 -0.013232 -0.0543463 1.91746 0 0 0 
4.40662 17.4217 44.9294 8.55368 7.57674 199.673 0.169765 -13 4 1 0 1 -0.0140969 -0.0557325 1.94882 0 0 0 
4.6229 17.6092 49.9212 8.74861 7.42758 199.67 0.188627 -13 4 1 0 1 -0.0149958 -0.0571211 1.98104 0 0 0 
4.84407 17.793 54.9129 8.94516 7.272 199.667 0.20749 -13 4 1 0 1 -0.0159297 -0.0585122 2.01381 0 0 0 
5.07017 17.9728 59.9046 9.14319 7.10983 199.664 0.226352 -13 4 1 0 1 -0.0168998 -0.0599065 2.04657 0 0 0 
5.30124 18.1484 64.8962 9.34251 6.94087 199.661 0.245215 -13 4 1 0 1 -0.0179049 -0.0612962 2.08 0 0 0 
5.5373 18.3198 69.8876 9.54298 6.76489 199.658 0.264077 -13 4 1 0 1 -0.0189453 -0.0626793 2.11416 0 0 0 
5.77839 18.4866 74.879 9.74441 6.58169 199.654 0.28294 -13 4 1 0 1 -0.020024 -0.0640621 2.14831 0 0 0 
6.02453 18.6488 79.8703 9.94658 6.3911 199.65 0.301803 -13 4 1 0 1 -0.0211387 -0.0654345 2.18294 0 0 0 
6.27573 18.8061 84.8616 10.1493 6.19289 199.646 0.320665 -13 4 1 0 1 -0.0222873 -0.0667872 2.21845 0 0 0 
6.532 18.9584 89.8527 10.3523 5.98685 199.642 0.339528 -13 4 1 0 1 -0.0234756 -0.0681354 2.25396 0 0 0 
6.79334 19.1054 94.8437 10.5554 5.77281 199.638 0.35839 -13 4 1 0 1 -0.0247013 -0.0694691 2.28975 0 0 0 
7.05976 19.247 99.8345 10.7582 5.55056 199.633 0.377253 -13 4 1 0 1 -0.0259567 -0.0707654 2.32657 0 0 0 
7.33125 19.3828 104.825 10.9606 5.3199 199.629 0.396115 -13 4 1 0 1 -0.0272526 -0.0720523 2.36339 0 0 0 
7.60779 19.5129 109.816 11.1622 5.08066 199.624 0.414978 -13 4 1 0 1 -0.0285878 -0.0733236 2.40031 0 0 0 
7.88935 19.6368 114.807 11.3627 4.83266 199.618 0.43384 -13 4 1 0 1 -0.029945 -0.074534 2.43836 0 0 0 
8.17591 19.7544 119.797 11.5618 4.5757 199.613 0.452703 -13 4 1 0 1 -0.0313428 -0.0757297 2.47642 0 0 0 
8.46743 19.8655 124.787 11.759 4.30965 199.607 0.471565 -13 4 1 0 1 -0.0327816 -0.0769092 2.51447 0 0 0 
8.76384 19.9698 129.777 11.9542 4.03434 199.602 0.490428 -13 4 1 0 1 -0.0342326 -0.0780045 2.55361 0 0 0 
9.06511 20.0672 134.767 12.1467 3.74961 199.596 0.509291 -13 4 1 0 1 -0.0357219 -0.0790765 2.59281 0 0 0 
9.37116 20.1572 139.757 12.3363 3.45534 199.589 0.528153 -13 4 1 0 1 -0.037251 -0.0801265 2.632 0 0 0 
9.6819 20.2398 144.747 12.5226 3.15142 199.583 0.547016 -13 4 1 0 1 -0.0387859 -0.0810812 2.67204 0 0 0 
9.99725 20.3147 149.736 12.705 2.83771 199.576 0.565878 -13 4 1 0 1 -0.0403511 -0.0819947 2.71225 0 0 0 
10.3171 20.3816 154.725 12.8831 2.51415 199.569 0.584741 -13 4 1 0 1 -0.0419538 -0.0828805 2.75247 0 0 0 
10.6414 20.4404 159.715 13.0565 2.18065 199.561 0.603603 -13 4 1 0 1 -0.0435558 -0.0836637 2.79329 0 0 0 
10.9699 20.4906 164.704 13.2245 1.83716 199.554 0.622466 -13 4 1 0 1 -0.0451755 -0.084383 2.83438 0 0 0 
11.3025 20.5321 169.692 13.3868 1.48365 199.546 0.641328 -13 4 1 0 1 -0.0468288 -0.0850688 2.87548 0 0 0 
11.6392 20.5647 174.681 13.5427 1.12009 199.538 0.660191 -13 4 1 0 1 -0.0484759 -0.0856498 2.91696 0 0 0 
11.9796 20.588 179.669 13.6917 0.746522 199.529 0.679053 -13 4 1 0 1 -0.0501221 -0.0861393 2.95876 0 0 0 
12.3237 20.6019 184.657 13.8333 0.362958 199.521 0.697916 -13 4 1 0 1 -0.0517966 -0.0865901 3.00055 0 0 0 
12.6712 20.6061 189.645 13.9668 -0.0305455 199.512 0.716779 -13 4 1 0 1 -0.0534612 -0.0869393 3.04256 0 0 0 
13.022 20.6003 194.633 14.0917 -0.433866 199.502 0.735641 -13 4 1 0 1 -0.0550995 -0.0871656 3.08486 0 0 0 
13.3757 20.5843 199.62 14.2073 -0.846895 199.493 0.754504 -13 4 1 0 1 -0.0567591 -0.0873485 3.12715 0 0 0 
13.7323 20.5579 204.608 14.313 -1.26951 199.483 0.773366 -13 4 1 0 1 -0.0584076 -0.0874392 3.16953 0 0 0 
14.0913 20.5208 209.595 14.4082 -1.70147 199.473 0.792229 -13 4 1 0 1 -0.0599971 -0.0873722 3.2121 0 0 0 
14.4526 20.4728 214.581 14.4921 -2.14256 199.463 0.811091 -13 4 1 0 1 -0.0615994 -0.0872585 3.25467 0 0 0 
14.8158 20.4136 219.568 14.5643 -2.59258 199.452 0.829954 -13 4 1 0 1 -0.0631925 -0.0870682 3.29724 0 0 0 
15.1807 20.3431 224.554 14.624 -3.05117 199.441 0.848816 -13 4 1 0 1 -0.0646865 -0.086684 3.33983 0 0 0 
15.5469 20.261 229.54 14.6705 -3.51799 199.43 0.867679 -13 4 1 0 1 -0.0661833 -0.0862511 3.38241 0 0 0 
15.9141 20.1671 234.525 14.7033 -3.99272 199.419 0.886541 -13 4 1 0 1 -0.0676768 -0.0857632 3.42499 0 0 0 
16.2819 20.0613 239.511 14.7216 -4.47491 199.407 0.905404 -13 4 1 0 1 -0.0690238 -0.0850455 3.46732 0 0 0 
16.65 19.9433 244.496 14.7247 -4.96404 199.395 0.924266 -13 4 1 0 1 -0.0703622 -0.0842792 3.50964 0 0 0 
17.018 19.813 249.48 14.7122 -5.45971 199.383 0.943129 -13 4 1 0 1 -0.0716902 -0.0834642 3.55197 0 0 0 
17.3855 19.6703 254.465 14.6832 -5.96133 199.371 0.961992 -13 4 1 0 1 -0.0728528 -0.0824268 3.59378 0 0 0 
17.7521 19.5149 259.449 14.6372 -6.46823 199.359 0.980854 -13 4 1 0 1 -0.073977 -0.0813231 3.63555 0 0 0 
18.1172 19.3468 264.433 14.5736 -6.97987 199.346 0.999717 -13 4 1 0 1 -0.0750785 -0.0801739 3.67731 0 0 0 
18.4806 19.1659 269.416 14.4918 -7.49559 199.333 1.01858 -13 4 1 0 1 -0.0760105 -0.078829 3.7184 0 0 0 
18.8417 18.972 274.399 14.3912 -8.0145 199.321 1.03744 -13 4 1 0 1 -0.076864 -0.0773957 3.75928 0 0 0 
19.2 18.7651 279.382 14.2712 -8.53596 199.307 1.0563 -13 4 1 0 1 -0.0776822 -0.0759227 3.80016 0 0 0 
19.5551 18.5452 284.365 14.1316 -9.05919 199.294 1.07517 -13 4 1 0 1 -0.0783332 -0.0742878 3.84028 0 0 0 
19.9064 18.3122 289.347 13.9715 -9.58316 199.281 1.09403 -13 4 1 0 1 -0.0788613 -0.0725456 3.87995 0 0 0 
20.2535 18.066 294.329 13.7908 -10.1071 199.268 1.11289 -13 4 1 0 1 -0.0793418 -0.0707726 3.91961 0 0 0 
20.5958 17.8068 299.31 13.589 -10.6301 199.254 1.13175 -13 4 1 0 1 -0.0796643 -0.0688767 3.95852 0 0 0 
20.9327 17.5345 304.292 13.3656 -11.151 199.241 1.15062 -13 4 1 0 1 -0.0798171 -0.0668597 3.99663 0 0 0 
21.2639 17.2493 309.272 13.1205 -11.6689 199.228 1.16948 -13 4 1 0 1 -0.0799109 -0.0648239 4.03475 0 0 0 
21.5886 16.9511 314.253 12.8534 -12.1828 199.214 1.18834 -13 4 1 0 1 -0.0798627 -0.0627073 4.07219 0 0 0 
21.9063 16.6402 319.233 12.5641 -12.6915 199.201 1.2072 -13 4 1 0 1 -0.0795979 -0.060463 4.10841 0 0 0 
22.2166 16.3166 324.213 12.2524 -13.1939 199.188 1.22607 -13 4 1 0 1 -0.0792646 -0.0582145 4.14463 0 0 0 
22.5188 15.9805 329.193 11.9182 -13.689 199.175 1.24493 -13 4 1 0 1 -0.0788111 -0.0559286 4.18036 0 0 0 
22.8123 15.6322 334.172 11.5616 -14.1755 199.162 1.26379 -13 4 1 0 1 -0.0780971 -0.0535163 4.21435 0 0 0 
23.0967 15.2719 339.151 11.1825 -14.6522 199.149 1.28265 -13 4 1 0 1 -0.0773077 -0.051117 4.24833 0 0 0 
23.3713 14.8997 344.129 10.7811 -15.1181 199.136 1.30152 -13 4 1 0 1 -0.0764247 -0.0487225 4.28212 0 0 0 
23.6355 14.5161 349.107 10.3576 -15.5718 199.124 1.32038 -13 4 1 0 1 -0.0752435 -0.0462117 4.31354 0 0 0 
23.889 14.1212 354.085 9.9123 -16.012 199.111 1.33924 -13 4 1 0 1 -0.0739829 -0.0437327 4.34496 0 0 0 
24.131 13.7156 359.063 9.44541 -16.4378 199.099 1.3581 -13 4 1 0 1 -0.0726441 -0.0412895 4.37637 0 0 0 
24.361 13.2995 364.04 8.9574 -16.8479 199.088 1.37697 -13 4 1 0 1 -0.0710075 -0.0387653 4.4051 0 0 0 
24.5787 12.8733 369.017 8.44878 -17.2408 199.076 1.39583 -13 4 1 0 1 -0.069277 -0.0362845 4.43364 0 0 0 
24.7833 12.4376 373.994 7.92005 -17.6157 199.065 1.41469 -13 4 1 0 1 -0.0674693 -0.0338596 4.46217 0 0 0 
24.9745 11.9927 378.971 7.37184 -17.9714 199.054 1.43356 -13 4 1 0 1 -0.0654075 -0.0314085 4.48818 0 0 0 
25.1518 11.5392 383.947 6.80494 -18.3065 199.044 1.45242 -13 4 1 0 1 -0.0632254 -0.0290067 4.51355 0 0 0 
25.3146 11.0775 388.923 6.22007 -18.6201 199.034 1.47128 -13 4 1 0 1 -0.0609714 -0.0266808 4.5389 0 0 0 
25.4626 10.6084 393.899 5.61803 -18.9112 199.025 1.49014 -13 4 1 0 1 -0.0585118 -0.0243774 4.562 0 0 0 
25.5954 10.1322 398.874 4.9999 -19.1786 199.016 1.50901 -13 4 1 0 1 -0.0559144 -0.0221343 4.58392 0 0 0 
25.7125 9.64963 403.849 4.36658 -19.4213 199.007 1.52787 -13 4 1 0 1 -0.0532546 -0.0199859 4.60583 0 0 0 
25.8136 9.16133 408.824 3.71905 -19.6386 198.999 1.54673 -13 4 1 0 1 -0.0504398 -0.0179013 4.62584 0 0 0 
25.8983 8.66792 413.799 3.05864 -19.8294 198.991 1.56559 -13 4 1 0 1 -0.0474805 -0.0158913 4.64406 0 0 0 
25.9664 8.17009 418.774 2.38643 -19.9929 198.984 1.58446 -13 4 1 0 1 -0.0444723 -0.0139928 4.66229 0 0 0 
26.0176 7.66851 423.749 1.70356 -20.1285 198.977 1.60332 -13 4 1 0 1 -0.0413595 -0.0121904 4.67904 0 0 0 
26.0515 7.1639 428.723 1.01153 -20.2355 198.971 1.62218 -13 4 1 0 1 -0.0381073 -0.0104791 4.69336 0 0 0 
26.0681 6.65698 433.697 0.31161 -20.3132 198.966 1.64104 -13 4 1 0 1 -0.0348233 -0.00889279 4.70768 0 0 0 
26.067 6.14849 438.671 -0.394963 -20.3612 198.96 1.65991 -13 4 1 0 1 -0.0314822 -0.00742577 4.72103 0 0 0 
26.0483 5.63917 443.645 -1.10655 -20.379 198.956 1.67877 -13 4 1 0 1 -0.0280192 -0.00606585 4.73127 0 0 0 
26.0117 5.12979 448.619 -1.82172 -20.3662 198.952 1.69763 -13 4 1 0 1 -0.0245444 -0.00484043 4.74151 0 0 0 
25.9572 4.62112 453.593 -2.53918 -20.3226 198.949 1.71649 -13 4 1 0 1 -0.0210551 -0.0037484 4.75134 0 0 0 
25.8847 4.11392 458.566 -3.25725 -20.2481 198.946 1.73536 -13 4 1 0 1 -0.0174732 -0.00277706 4.75736 0 0 0 
25.7943 3.60897 463.54 -3.97436 -20.1425 198.943 1.75422 -13 4 1 0 1 -0.0139016 -0.00194502 4.76337 0 0 0 
25.686 3.10705 468.514 -4.6892 -20.0058 198.942 1.77308 -13 4 1 0 1 -0.0103475 -0.00125166 4.76937 0 0 0 
25.5599 2.60894 473.487 -5.40013 -19.8382 198.94 1.79194 -13 4 1 0 1 -0.00674834 -0.000688814 4.77126 0 0 0 
25.4161 2.1154 478.461 -6.10551 -19.6398 198.94 1.81081 -13 4 1 0 1 -0.00317869 -0.000264565 4.77293 0 0 0 
25.2547 1.62721 483.434 -6.80403 -19.4109 198.939 1.82967 -13 4 1 0 1 0.000350562 2.25874e-05 4.7746 0 0 0 
25.0759 1.14511 488.408 -7.49418 -19.1519 198.94 1.84853 -13 4 1 0 1 0.00386626 0.000176555 4.77271 0 0 0 
24.8801 0.669855 493.381 -8.17428 -18.8634 198.941 1.86739 -13 4 1 0 1 0.00733446 0.000197468 4.76999 0 0 0 
24.6673 0.202181 498.355 -8.8431 -18.5458 198.942 1.88626 -13 4 1 0 1 0.01074 8.80284e-05 4.76726 0 0 0 
24.5915 0.0502555 500 -9.0616 -18.4344 198.942 1.89249 -13 4 1 0 1 0.0118505 2.42178e-05 4.76635 0 0 0 
24.5914 0.0501637 500 -9.06173 -18.4344 198.942 1.8925 -13 4 1 0 1 0.0118511 2.4175e-05 4.76635 0 0 0 
24.3567 -0.406312 504.974 -9.71342 -18.079 198.944 1.91136 -13 4 1 0 1 0.015172 -0.000253095 4.75971 0 0 0 
24.1059 -0.85356 509.948 -10.3505 -17.6963 198.946 1.93022 -13 4 1 0 1 0.018416 -0.000652088 4.75255 0 0 0 
23.8393 -1.29091 514.921 -10.9718 -17.287 198.949 1.94909 -13 4 1 0 1 0.0215747 -0.00116828 4.74539 0 0 0 
23.5574 -1.7177 519.895 -11.5761 -16.852 198.952 1.96795 -13 4 1 0 1 0.0246273 -0.0017957 4.73444 0 0 0 
23.2607 -2.1333 524.869 -12.162 -16.3924 198.956 1.98681 -13 4 1 0 1 0.0275803 -0.00252947 4.72286 0 0 0 
22.9495 -2.53712 529.843 -12.7287 -15.909 198.959 2.00567 -13 4 1 0 1 0.0304307 -0.00336418 4.71127 0 0 0 
22.6244 -2.92856 534.817 -13.2751 -15.4031 198.964 2.02454 -13 4 1 0 1 0.033142 -0.00428999 4.69655 0 0 0 
22.2859 -3.3071 539.791 -13.8 -14.876 198.968 2.0434 -13 4 1 0 1 0.0357291 -0.00530199 4.68059 0 0 0 
21.9346 -3.6722 544.765 -14.3028 -14.3287 198.973 2.06226 -13 4 1 0 1 0.0381999 -0.00639527 4.66464 0 0 0 
21.571 -4.02337 549.74 -14.7825 -13.7625 198.978 2.08112 -13 4 1 0 1 0.0405118 -0.00755618 4.6462 0 0 0 
21.1957 -4.36018 554.714 -15.2385 -13.1788 198.983 2.09999 -13 4 1 0 1 0.0426728 -0.00877825 4.62595 0 0 0 
20.8092 -4.68218 559.689 -15.67 -12.5789 198.988 2.11885 -13 4 1 0 1 0.0447081 -0.0100595 4.6057 0 0 0 
20.4124 -4.989 564.664 -16.0767 -11.9641 198.993 2.13771 -13 4 1 0 1 0.0465773 -0.011384 4.58363 0 0 0 
20.0056 -5.28027 569.639 -16.4579 -11.3359 198.999 2.15657 -13 4 1 0 1 0.0482691 -0.0127401 4.55921 0 0 0 
19.5897 -5.55569 574.614 -16.8134 -10.6958 199.005 2.17544 -13 4 1 0 1 0.0498305 -0.0141321 4.53479 0 0 0 
19.1652 -5.81497 579.589 -17.1428 -10.0448 199.011 2.1943 -13 4 1 0 1 0.05123 -0.0155439 4.50918 0 0 0 
18.7328 -6.05786 584.564 -17.4458 -9.3848 199.017 2.21316 -13 4 1 0 1 0.0524275 -0.0169542 4.48073 0 0 0 
18.2931 -6.28415 589.54 -17.7225 -8.71708 199.022 2.23202 -13 4 1 0 1 0.0534947 -0.0183768 4.45229 0 0 0 
17.8469 -6.49366 594.515 -17.9728 -8.04285 199.028 2.25089 -13 4 1 0 1 0.0544138 -0.0197987 4.42326 0 0 0 
17.3947 -6.68625 599.491 -18.1967 -7.36373 199.034 2.26975 -13 4 1 0 1 0.0551105 -0.0211836 4.39098 0 0 0 
16.9372 -6.86182 604.467 -18.3943 -6.68112 199.04 2.28861 -13 4 1 0 1 0.0556814 -0.0225583 4.35871 0 0 0 
16.4752 -7.02029 609.443 -18.566 -5.99618 199.046 2.30747 -13 4 1 0 1 0.0561254 -0.0239157 4.32639 0 0 0 
16.0091 -7.16162 614.419 -18.7119 -5.31034 199.052 2.32634 -13 4 1 0 1 0.0563321 -0.0251999 4.29049 0 0 0 
15.5398 -7.28581 619.396 -18.8325 -4.62503 199.058 2.3452 -13 4 1 0 1 0.0564217 -0.0264532 4.2546 0 0 0 
15.0677 -7.39288 624.372 -18.9281 -3.94129 199.063 2.36406 -13 4 1 0 1 0.0563955 -0.0276701 4.21871 0 0 0 
14.5936 -7.4829 629.349 -18.9993 -3.26038 199.069 2.38292 -13 4 1 0 1 0.0561542 -0.0287932 4.17987 0 0 0 
14.118 -7.55594 634.326 -19.0467 -2.58366 199.074 2.40179 -13 4 1 0 1 0.0557927 -0.0298602 4.1406 0 0 0 
13.6414 -7.61212 639.303 -19.0708 -1.91204 199.08 2.42065 -13 4 1 0 1 0.055328 -0.0308738 4.10134 0 0 0 
13.1646 -7.65159 644.28 -19.0723 -1.24656 199.085 2.43951 -13 4 1 0 1 0.0546868 -0.0317853 4.05991 0 0 0 
12.688 -7.67451 649.257 -19.052 -0.588451 199.09 2.45837 -13 4 1 0 1 0.0539242 -0.0326167 4.01764 0 0 0 
12.2122 -7.68108 654.234 -19.0107 0.0614899 199.094 2.47724 -13 4 1 0 1 0.0530735 -0.0333815 3.97538 0 0 0 
11.7377 -7.67151 659.212 -18.949 0.70244 199.099 2.4961 -13 4 1 0 1 0.0520743 -0.0340348 3.93142 0 0 0 
11.2649 -7.64604 664.189 -18.868 1.33332 199.104 2.51496 -13 4 1 0 1 0.0509561 -0.0345864 3.8863 0 0 0 
10.7944 -7.60493 669.167 -18.7684 1.95346 199.108 2.53382 -13 4 1 0 1 0.0497661 -0.0350615 3.84119 0 0 0 
10.3266 -7.54846 674.144 -18.6512 2.56226 199.112 2.55269 -13 4 1 0 1 0.0484632 -0.0354252 3.7949 0 0 0 
9.86198 -7.47692 679.122 -18.5173 3.15883 199.116 2.57155 -13 4 1 0 1 0.0470477 -0.0356695 3.74722 0 0 0 
9.40089 -7.39063 684.1 -18.3676 3.74265 199.12 2.59041 -13 4 1 0 1 0.0455774 -0.0358313 3.69954 0 0 0 
8.94373 -7.2899 689.078 -18.2031 4.31329 199.123 2.60927 -13 4 1 0 1 0.044028 -0.0358866 3.65114 0 0 0 
8.49085 -7.17508 694.056 -18.0248 4.87009 199.127 2.62814 -13 4 1 0 1 0.0423768 -0.0358099 3.6012 0 0 0 
