# TuneParticle
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
0 0 0 0 0 200 0 -13 -2 1 0 1 0 0 1.68083 0 0 0 
0 0 0.0005 0 0 200 1.88625e-06 -13 -2 1 0 1 0 0 1.68083 0 0 0 
0 0 5.0005 0 0 200 0.0188644 -13 -2 1 0 1 0 0 1.70949 0 0 0 
0 0 10.0005 0 0 200 0.037727 -13 -2 1 0 1 0 0 1.73816 0 0 0 
0 0 15.0005 0 0 200 0.0565895 -13 -2 1 0 1 0 0 1.76683 0 0 0 
0 0 20.0005 0 0 200 0.0754521 -13 -2 1 0 1 0 0 1.79671 0 0 0 
0 0 25.0005 0 0 200 0.0943146 -13 -2 1 0 1 0 0 1.82677 0 0 0 
0 0 30.0005 0 0 200 0.113177 -13 -2 1 0 1 0 0 1.85683 0 0 0 
0 0 35.0005 0 0 200 0.13204 -13 -2 1 0 1 0 0 1.88794 0 0 0 
0 0 40.0005 0 0 200 0.150902 -13 -2 1 0 1 0 0 1.9194 0 0 0 
0 0 45.0005 0 0 200 0.169765 -13 -2 1 0 1 0 0 1.95086 0 0 0 
0 0 50.0005 0 0 200 0.188627 -13 -2 1 0 1 0 0 1.9832 0 0 0 
0 0 55.0005 0 0 200 0.20749 -13 -2 1 0 1 0 0 2.01606 0 0 0 
0 0 60.0005 0 0 200 0.226352 -13 -2 1 0 1 0 0 2.04892 0 0 0 
0 0 65.0005 0 0 200 0.245215 -13 -2 1 0 1 0 0 2.08248 0 0 0 
0 0 70.0005 0 0 200 0.264077 -13 -2 1 0 1 0 0 2.11672 0 0 0 
0 0 75.0005 0 0 200 0.28294 -13 -2 1 0 1 0 0 2.15097 0 0 0 
0 0 80.0005 0 0 200 0.301803 -13 -2 1 0 1 0 0 2.18572 0 0 0 
0 0 85.0005 0 0 200 0.320665 -13 -2 1 0 1 0 0 2.22131 0 0 0 
0 0 90.0005 0 0 200 0.339528 -13 -2 1 0 1 0 0 2.25691 0 0 0 
0 0 95.0005 0 0 200 0.35839 -13 -2 1 0 1 0 0 2.29283 0 0 0 
0 0 100.001 0 0 200 0.377253 -13 -2 1 0 1 0 0 2.32972 0 0 0 
0 0 105.001 0 0 200 0.396115 -13 -2 1 0 1 0 0 2.36661 0 0 0 
0 0 110.001 0 0 200 0.414978 -13 -2 1 0 1 0 0 2.40365 0 0 0 
0 0 115.001 0 0 200 0.43384 -13 -2 1 0 1 0 0 2.44177 0 0 0 
0 0 120.001 0 0 200 0.452703 -13 -2 1 0 1 0 0 2.47988 0 0 0 
0 0 125.001 0 0 200 0.471565 -13 -2 1 0 1 0 0 2.518 0 0 0 
0 0 130 0 0 200 0.490428 -13 -2 1 0 1 0 0 2.55724 0 0 0 
0 0 135 0 0 200 0.509291 -13 -2 1 0 1 0 0 2.59648 0 0 0 
0 0 140 0 0 200 0.528153 -13 -2 1 0 1 0 0 2.63572 0 0 0 
0 0 145 0 0 200 0.547016 -13 -2 1 0 1 0 0 2.67583 0 0 0 
0 0 150 0 0 200 0.565878 -13 -2 1 0 1 0 0 2.71608 0 0 0 
