#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-18.616 27.6375 1000 -11.2286 -2.53395 199.668 3.77648 -13 1 1 0 1
19.2429 13.1287 2000 5.68557 23.3419 198.552 7.58956 -13 1 1 0 1
8.92227 8.7863 3000 -17.1199 25.3317 197.649 11.4008 -13 1 1 0 1
0.338129 -18.9358 4000 19.5284 18.8087 198.154 15.2464 -13 1 1 0 1
19.9806 -23.4694 5000 3.0246 15.2696 199.393 19.0398 -13 1 1 0 1
-21.0478 -23.6053 6000 3.77721 -13.6388 199.499 22.8433 -13 1 1 0 1
0.101145 -20.5147 7000 18.4399 -18.2989 198.306 26.6332 -13 1 1 0 1
-9.96074 7.10759 8000 -17.8126 -25.0661 197.622 30.4771 -13 1 1 0 1
-18.3329 12.384 9000 5.96931 -24.5638 198.396 34.2909 -13 1 1 0 1
16.1755 27.3192 10000 -13.4216 0.596751 199.548 38.1074 -13 1 1 0 1
-9.75329 28.2317 11000 -15.3544 5.85535 199.324 41.8828 -13 1 1 0 1
17.8064 5.81548 12000 11.822 25.0086 198.078 45.7068 -13 1 1 0 1
13.0359 1.23922 13000 -12.8589 27.6333 197.664 49.5243 -13 1 1 0 1
-6.25993 -23.0547 14000 19.6708 12.3021 198.65 53.3629 -13 1 1 0 1
16.7892 -28.0592 15000 8.25811 8.63982 199.643 57.1462 -13 1 1 0 1
-22.324 -17.833 16000 -2.36379 -18.7662 199.104 60.9517 -13 1 1 0 1
-5.54463 -14.5809 17000 16.8201 -23.6175 197.887 64.7526 -13 1 1 0 1
-5.19245 12.8462 18000 -20.5009 -21.8698 197.741 68.6002 -13 1 1 0 1
-20.0028 20.3557 19000 1.05987 -20.5725 198.936 72.4056 -13 1 1 0 1
-22.16 10.4577 1000 -6.01905 -35.134 196.798 3.84092 -13 2 1 0 1
20.1255 25.0248 2000 -28.4667 6.72314 197.85 7.7237 -13 2 1 0 1
0.972197 38.0821 3000 -22.3421 -1.20207 198.745 11.5133 -13 2 1 0 1
34.4877 0.843467 4000 11.7736 24.9541 198.088 15.3651 -13 2 1 0 1
22.1321 11.6763 5000 -6.05875 35.2655 196.773 19.1777 -13 2 1 0 1
5.35575 -21.7386 6000 36.591 10.4054 196.349 23.0798 -13 2 1 0 1
14.0244 -25.8294 7000 17.8949 27.7433 197.256 26.909 -13 2 1 0 1
-31.7206 -17.7078 8000 17.2123 -17.2267 198.512 30.7752 -13 2 1 0 1
-13.6026 -33.9338 9000 19.3375 -14.3406 198.546 34.5586 -13 2 1 0 1
-27.8022 10.5871 10000 -24.9623 -21.113 197.31 38.4237 -13 2 1 0 1
-22.3312 2.18296 11000 -5.72439 -37.5313 196.364 42.252 -13 2 1 0 1
8.2391 23.329 12000 -35.9686 1.4877 196.733 46.1544 -13 2 1 0 1
-3.62365 34.0739 13000 -23.3464 -15.3426 198.039 49.9682 -13 2 1 0 1
37.5165 6.31456 14000 -2.40049 22.2894 198.74 53.8206 -13 2 1 0 1
22.2193 23.4685 15000 -10.9726 26.7163 197.904 57.6095 -13 2 1 0 1
17.1436 -18.3988 16000 34.0742 13.1152 196.639 61.4924 -13 2 1 0 1
17.8694 -14.9679 17000 16.2615 34.0209 196.413 65.3289 -13 2 1 0 1
