#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-2.17699 -17.6917 500 -8.2179 -8.80583 199.637 1.89011 -13 1 1 0 1
12.5303 -12.4177 1500 6.35288 17.9309 199.093 5.66861 -13 1 1 0 1
-13.1163 36.1743 2500 23.2069 3.15051 198.624 9.45494 -13 1 1 0 1
7.87827 -43.0232 3500 30.974 3.99576 197.547 13.2525 -13 1 1 0 1
0.864034 29.6465 4500 16.4132 6.9321 199.205 17.0459 -13 1 1 0 1
-9.36911 -1.67934 5500 3.30972 -16.492 199.291 20.8265 -13 1 1 0 1
13.0237 -27.1577 6500 -18.0861 -0.564559 199.18 24.6072 -13 1 1 0 1
-10.4873 42.4764 7500 -29.9496 -8.96585 197.541 28.4008 -13 1 1 0 1
3.11993 -38.2474 8500 -22.253 -6.92804 198.637 32.1983 -13 1 1 0 1
5.98403 15.6743 9500 -13.0662 13.5904 199.109 35.9844 -13 1 1 0 1
-12.0241 14.7855 10500 10.8505 -1.77244 199.698 39.7627 -13 1 1 0 1
12.2839 -37.5992 11500 25.8499 13.2472 197.879 43.55 -13 1 1 0 1
-6.72699 42.8494 12500 25.7111 6.19885 198.244 47.348 -13 1 1 0 1
-2.07644 -27.927 13500 21.4456 -9.28089 198.63 51.1404 -13 1 1 0 1
9.86484 -0.618245 14500 -2.37111 3.81524 199.95 54.9204 -13 1 1 0 1
-12.9349 28.742 15500 -19.0048 -16.2832 198.428 58.7019 -13 1 1 0 1
9.85118 -43.0955 16500 -26.4796 -5.00167 198.176 62.4963 -13 1 1 0 1
-2.30553 36.8911 17500 -27.5005 3.78183 198.064 66.2933 -13 1 1 0 1
-6.2786 -14.145 18500 -6.41286 -5.56652 199.82 70.0785 -13 1 1 0 1
13.4672 -14.6032 19500 7.43309 20.3127 198.827 73.8575 -13 1 1 0 1
-14.665 -38.743 500 -7.62588 5.38184 199.782 1.88843 -13 2 1 0 1
67.9167 18.3901 1500 -25.4396 53.6068 190.995 5.71479 -13 2 1 0 1
-90.7746 10.2313 2500 10.4903 51.0676 193.086 9.59007 -13 2 1 0 1
87.7601 -33.0559 3500 27.0344 66.5067 186.671 13.4959 -13 2 1 0 1
-66.3237 48.3117 4500 19.472 40.6794 194.849 17.3896 -13 2 1 0 1
20.3512 -49.2733 5500 51.188 10.4475 193.056 21.2374 -13 2 1 0 1
33.2685 32.358 6500 4.16188 -13.1495 199.524 25.0519 -13 2 1 0 1
-72.0494 -3.20721 7500 12.5947 -59.2819 190.597 28.8845 -13 2 1 0 1
88.881 -27.0218 8500 -19.3077 -49.4863 192.817 32.7643 -13 2 1 0 1
-79.8543 47.5325 9500 -38.7272 -59.971 186.825 36.671 -13 2 1 0 1
54.5908 -57.9577 10500 -24.82 -35.3933 195.272 40.5606 -13 2 1 0 1
-7.55926 49.7876 11500 -51.065 1.4415 193.366 44.4032 -13 2 1 0 1
-42.6347 -23.5002 12500 -0.375451 16.5794 199.311 48.217 -13 2 1 0 1
74.1092 -10.7308 13500 -0.614766 61.9558 190.161 52.0542 -13 2 1 0 1
-84.0288 42.0399 14500 27.0558 46.5976 192.605 55.9386 -13 2 1 0 1
69.9988 -59.5294 15500 48.3906 51.7348 187.034 59.8453 -13 2 1 0 1
