#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-4.47407 29.0508 1000 -12.1823 24.2986 198.144 3.79425 -13 1 1 0 1
9.41129 -0.363887 2000 28.1466 26.4664 196.233 7.65636 -13 1 1 0 1
9.27179 -11.5191 3000 -6.45456 36.0174 196.624 11.5169 -13 1 1 0 1
-22.4579 -23.0896 4000 20.5186 9.56171 198.715 15.3651 -13 1 1 0 1
9.84343 -39.0668 5000 6.71226 -0.309256 199.887 19.1491 -13 1 1 0 1
-26.2696 -14.8966 6000 -16.6962 -19.3519 198.36 22.9577 -13 1 1 0 1
-4.29022 -10.6754 7000 9.65258 -36.5213 196.4 26.7934 -13 1 1 0 1
3.61372 11.06 8000 -30.6401 -22.0131 196.409 30.6752 -13 1 1 0 1
-10.8516 28.3612 9000 0.558065 -25.398 198.38 34.5106 -13 1 1 0 1
32.4108 23.929 10000 -5.21935 4.15819 199.889 38.3189 -13 1 1 0 1
-2.68467 31.9014 11000 -9.86546 20.5431 198.697 42.1031 -13 1 1 0 1
14.5243 3.18072 12000 27.776 23.9916 196.603 45.9517 -13 1 1 0 1
7.74642 -6.41834 13000 -5.55402 38.0755 196.264 49.8125 -13 1 1 0 1
-18.679 -19.6586 14000 25.0276 12.4259 198.038 53.6744 -13 1 1 0 1
9.08962 -38.92 15000 5.10862 6.73386 199.821 57.4685 -13 1 1 0 1
-30.3418 -17.004 16000 -12.4281 -15.5395 199.008 61.2691 -13 1 1 0 1
-3.4352 -16.1012 17000 8.81039 -34.2797 196.843 65.0904 -13 1 1 0 1
-1.50183 7.09706 18000 -31.8445 -22.7948 196.128 68.9697 -13 1 1 0 1
-10.8704 25.4904 19000 1.91332 -29.5471 197.796 72.8174 -13 1 1 0 1
-37.6978 9.31049 1000 -36.3026 -16.8114 195.958 3.81302 -13 2 1 0 1
0.530799 27.37 2000 -35.4835 43.4569 191.97 7.797 -13 2 1 0 1
-16.3536 15.509 3000 -66.9747 2.57885 188.435 11.7938 -13 2 1 0 1
-17.7668 49.9331 4000 -45.2393 71.1568 181.356 16.0275 -13 2 1 0 1
-205.019 147.009 5000 -109.787 73.9693 149.918 20.9009 -13 2 1 0 1
-10.2049 -26.4358 1000 17.5006 -4.83561 199.174 3.78567 -13 3 1 0 1
-22.8117 13.2945 2000 -14.8435 -14.2839 198.936 7.60608 -13 3 1 0 1
-21.4377 1.50364 3000 -7.16307 -23.9924 198.426 11.3963 -13 3 1 0 1
9.01619 18.2925 4000 -24.3598 8.84561 198.314 15.235 -13 3 1 0 1
2.39081 25.0642 5000 -21.4691 -5.26994 198.775 19.0289 -13 3 1 0 1
27.6188 -4.88438 6000 3.17234 18.4653 199.12 22.8518 -13 3 1 0 1
23.1392 10.2774 7000 -2.88459 21.4307 198.828 26.6342 -13 3 1 0 1
3.88992 -20.5283 8000 25.6935 -0.488158 198.342 30.467 -13 3 1 0 1
8.30495 -19.6497 9000 20.3115 15.2366 198.382 34.2658 -13 3 1 0 1
-25.3783 -5.04263 10000 9.41853 -18.8388 198.888 38.0972 -13 3 1 0 1
-19.4952 -20.0251 11000 12.748 -13.8618 199.111 41.8789 -13 3 1 0 1
-16.0606 18.638 12000 -21.1761 -8.15936 198.708 45.7028 -13 3 1 0 1
