# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
20 0 -5000 0 0 200 0 -13 -2 1 0 1 -2.41535e-05 0 0.00405044 0 0 0 
20 -4.53167e-07 -4995 -5.51652e-10 -3.62775e-05 200 0.0188625 -13 -2 1 0 1 -2.42501e-05 5.49467e-13 0.00406259 0 0 0 
20 -1.81508e-06 -4990 -2.21506e-09 -7.26999e-05 200 0.0377251 -13 -2 1 0 1 -2.43467e-05 2.20956e-12 0.00407474 0 0 0 
20 -4.08937e-06 -4985 -5.00295e-09 -0.000109267 200 0.0565876 -13 -2 1 0 1 -2.44433e-05 4.99788e-12 0.00408689 0 0 0 
20 -7.27965e-06 -4980 -8.92819e-09 -0.00014598 200 0.0754502 -13 -2 1 0 1 -2.45412e-05 8.93258e-12 0.00409918 0 0 0 
20 -1.13896e-05 -4975 -1.40038e-08 -0.00018284 200 0.0943127 -13 -2 1 0 1 -2.46394e-05 1.40316e-11 0.00411148 0 0 0 
20 -1.64229e-05 -4970 -2.0243e-08 -0.000219847 200 0.113175 -13 -2 1 0 1 -2.47375e-05 2.0313e-11 0.00412378 0 0 0 
20 -2.23832e-05 -4965 -2.76588e-08 -0.000257002 200 0.132038 -13 -2 1 0 1 -2.48368e-05 2.77963e-11 0.0041362 0 0 0 
20 -2.92742e-05 -4960 -3.62649e-08 -0.000294306 200 0.1509 -13 -2 1 0 1 -2.49364e-05 3.64997e-11 0.00414866 0 0 0 
20 -3.70997e-05 -4955 -4.60747e-08 -0.000331759 200 0.169763 -13 -2 1 0 1 -2.50361e-05 4.64416e-11 0.00416112 0 0 0 
20 -4.58634e-05 -4950 -5.71018e-08 -0.000369363 200 0.188625 -13 -2 1 0 1 -2.51368e-05 5.76429e-11 0.00417368 0 0 0 
20 -5.55691e-05 -4945 -6.93601e-08 -0.000407117 200 0.207488 -13 -2 1 0 1 -2.5238e-05 7.01226e-11 0.00418629 0 0 0 
20 -6.62205e-05 -4940 -8.28636e-08 -0.000445024 200 0.226351 -13 -2 1 0 1 -2.53392e-05 8.38989e-11 0.00419891 0 0 0 
20 -7.78216e-05 -4935 -9.76262e-08 -0.000483083 200 0.245213 -13 -2 1 0 1 -2.54413e-05 9.89939e-11 0.0042116 0 0 0 
20 -9.0376e-05 -4930 -1.13662e-07 -0.000521295 200 0.264076 -13 -2 1 0 1 -2.55441e-05 1.15429e-10 0.00422438 0 0 0 
20 -0.000103888 -4925 -1.30986e-07 -0.000559662 200 0.282938 -13 -2 1 0 1 -2.56469e-05 1.3322e-10 0.00423715 0 0 0 
20 -0.00011836 -4920 -1.49613e-07 -0.000598183 200 0.301801 -13 -2 1 0 1 -2.57504e-05 1.52391e-10 0.00424999 0 0 0 
20 -0.000133798 -4915 -1.69556e-07 -0.00063686 200 0.320663 -13 -2 1 0 1 -2.58548e-05 1.72966e-10 0.00426292 0 0 0 
20 -0.000150205 -4910 -1.90831e-07 -0.000675694 200 0.339526 -13 -2 1 0 1 -2.59593e-05 1.9496e-10 0.00427586 0 0 0 
20 -0.000167584 -4905 -2.13453e-07 -0.000714684 200 0.358388 -13 -2 1 0 1 -2.60642e-05 2.18397e-10 0.00428884 0 0 0 
20 -0.00018594 -4900 -2.37437e-07 -0.000753833 200 0.377251 -13 -2 1 0 1 -2.61703e-05 2.43306e-10 0.00430194 0 0 0 
20 -0.000205277 -4895 -2.62798e-07 -0.000793141 200 0.396113 -13 -2 1 0 1 -2.62764e-05 2.69698e-10 0.00431504 0 0 0 
20 -0.000225599 -4890 -2.89551e-07 -0.000832608 200 0.414976 -13 -2 1 0 1 -2.63828e-05 2.97596e-10 0.00432816 0 0 0 
20 -0.000246909 -4885 -3.17713e-07 -0.000872236 200 0.433838 -13 -2 1 0 1 -2.64906e-05 3.27038e-10 0.00434143 0 0 0 
20 -0.000269212 -4880 -3.47299e-07 -0.000912025 200 0.452701 -13 -2 1 0 1 -2.65984e-05 3.5803e-10 0.0043547 0 0 0 
20 -0.000292511 -4875 -3.78324e-07 -0.000951976 200 0.471564 -13 -2 1 0 1 -2.67062e-05 3.90594e-10 0.00436797 0 0 0 
20 -0.000316812 -4870 -4.10806e-07 -0.000992089 200 0.490426 -13 -2 1 0 1 -2.68158e-05 4.24778e-10 0.0043814 0 0 0 
20 -0.000342117 -4865 -4.44759e-07 -0.00103237 200 0.509289 -13 -2 1 0 1 -2.69253e-05 4.60581e-10 0.00439484 0 0 0 
20 -0.000368432 -4860 -4.80201e-07 -0.00107281 200 0.528151 -13 -2 1 0 1 -2.70349e-05 4.98025e-10 0.00440828 0 0 0 
20 -0.000395759 -4855 -5.17148e-07 -0.00111342 200 0.547014 -13 -2 1 0 1 -2.71459e-05 5.37163e-10 0.00442187 0 0 0 
20 -0.000424104 -4850 -5.55616e-07 -0.00115419 200 0.565876 -13 -2 1 0 1 -2.72572e-05 5.77995e-10 0.00443548 0 0 0 
20 -0.00045347 -4845 -5.95624e-07 -0.00119513 200 0.584739 -13 -2 1 0 1 -2.73685e-05 6.20541e-10 0.00444909 0 0 0 
20 -0.000483862 -4840 -6.37186e-07 -0.00123624 200 0.603601 -13 -2 1 0 1 -2.74812e-05 6.64855e-10 0.00446283 0 0 0 
20 -0.000515283 -4835 -6.80322e-07 -0.00127752 200 0.622464 -13 -2 1 0 1 -2.75943e-05 7.10944e-10 0.00447662 0 0 0 
20 -0.000547739 -4830 -7.25048e-07 -0.00131897 200 0.641326 -13 -2 1 0 1 -2.77074e-05 7.5882e-10 0.0044904 0 0 0 
