# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
20 0 -5000 0 0 200 0 -13 -2 1 0 1 0 0 0 0 0 0 
20 -3.82769e-07 -4995 -4.65975e-10 -3.34616e-05 200 0.0188625 -13 -2 1 0 1 -2.42501e-05 4.64108e-13 0.00406259 0 0 0 
20 -1.67429e-06 -4990 -2.04332e-09 -6.98839e-05 200 0.0377251 -13 -2 1 0 1 -2.43467e-05 2.03817e-12 0.00407474 0 0 0 
20 -3.87817e-06 -4985 -4.74477e-09 -0.000106451 200 0.0565876 -13 -2 1 0 1 -2.44433e-05 4.73977e-12 0.00408689 0 0 0 
20 -6.99805e-06 -4980 -8.58317e-09 -0.000143164 200 0.0754502 -13 -2 1 0 1 -2.45412e-05 8.58705e-12 0.00409918 0 0 0 
20 -1.10376e-05 -4975 -1.35716e-08 -0.000180024 200 0.0943127 -13 -2 1 0 1 -2.46394e-05 1.3598e-11 0.00411148 0 0 0 
20 -1.60005e-05 -4970 -1.97231e-08 -0.000217031 200 0.113175 -13 -2 1 0 1 -2.47375e-05 1.97906e-11 0.00412378 0 0 0 
20 -2.18904e-05 -4965 -2.70509e-08 -0.000254186 200 0.132038 -13 -2 1 0 1 -2.48368e-05 2.71843e-11 0.0041362 0 0 0 
20 -2.8711e-05 -4960 -3.55686e-08 -0.00029149 200 0.1509 -13 -2 1 0 1 -2.49364e-05 3.57975e-11 0.00414866 0 0 0 
20 -3.64661e-05 -4955 -4.52896e-08 -0.000328943 200 0.169763 -13 -2 1 0 1 -2.50361e-05 4.56485e-11 0.00416112 0 0 0 
20 -4.51594e-05 -4950 -5.62275e-08 -0.000366547 200 0.188625 -13 -2 1 0 1 -2.51368e-05 5.67581e-11 0.00417368 0 0 0 
20 -5.47947e-05 -4945 -6.83962e-08 -0.000404301 200 0.207488 -13 -2 1 0 1 -2.5238e-05 6.91454e-11 0.00418629 0 0 0 
20 -6.53758e-05 -4940 -8.18097e-08 -0.000442208 200 0.226351 -13 -2 1 0 1 -2.53392e-05 8.28286e-11 0.00419891 0 0 0 
20 -7.69064e-05 -4935 -9.64818e-08 -0.000480267 200 0.245213 -13 -2 1 0 1 -2.54413e-05 9.78298e-11 0.0042116 0 0 0 
20 -8.93904e-05 -4930 -1.12427e-07 -0.000518479 200 0.264076 -13 -2 1 0 1 -2.55441e-05 1.1417e-10 0.00422438 0 0 0 
20 -0.000102832 -4925 -1.2966e-07 -0.000556846 200 0.282938 -13 -2 1 0 1 -2.56469e-05 1.31866e-10 0.00423715 0 0 0 
20 -0.000117234 -4920 -1.48194e-07 -0.000595367 200 0.301801 -13 -2 1 0 1 -2.57504e-05 1.50941e-10 0.00424999 0 0 0 
20 -0.000132601 -4915 -1.68046e-07 -0.000634044 200 0.320663 -13 -2 1 0 1 -2.58548e-05 1.71419e-10 0.00426292 0 0 0 
