# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event 1 Track 1
-10.117 -0.107102 -700 -36.8734 -8.62632 200.586 0 -13 1 1 0 1 -8.43417e-05 -4.10912e-05 1.97744 0 0 0 
-27.3913 -1.7303 -607.812 -37.7379 1.33775 199.807 0.352372 -13 1 1 0 1 -0.000417354 -7.02702e-05 1.97528 0 0 0 
-38.2424 -0.409723 -549.9 -37.1934 8.30871 199.374 0.573922 -13 1 1 0 1 -0.000844713 -5.52413e-05 1.97312 0 0 0 
-38.2919 -0.390816 -549.62 -37.1865 8.33953 199.374 0.574993 -13 1 1 0 1 -0.000847052 -5.4847e-05 1.97312 0 0 1.04446e-25 
-38.3137 -0.383947 -549.5 -37.2239 8.60095 199.326 0.575453 -13 1 1 0 1 -0.000779357 -0.00691126 1.97311 0 0 11.9422 
-55.6754 6.39381 -451.265 -33.073 18.8097 201.197 0.951184 -13 1 1 0 1 -0.00240452 -0.00166393 1.96747 0 0 19.0594 
-59.8878 9.00769 -425 -31.5295 21.2731 201.776 1.05148 -13 1 1 0 1 -0.0026129 0.00107782 1.96532 0 0 19.1302 
-73.5417 21.3283 -326.717 -24.5001 29.2259 203.637 1.42624 -13 1 1 0 1 -0.00192369 0.0132938 1.95409 0 0 12.7411 
-76.556 25.2021 -300.5 -22.3493 30.9769 203.962 1.5261 -13 1 1 0 1 -0.00141844 0.0162586 1.95029 0 0 9.64194 
-76.5675 25.2213 -300.38 -22.3952 30.7659 203.952 1.52656 -13 1 1 0 1 -0.00612856 0.00196221 1.95028 0 0 8.42978e-26 
-76.5918 25.2669 -300.1 -22.3706 30.7834 203.952 1.52762 -13 1 1 0 1 -0.00613543 0.00196746 1.95024 0 0 0 
-76.6091 25.2994 -299.9 -22.3426 30.7916 203.953 1.52838 -13 1 1 0 1 -0.00614124 0.00197152 1.95021 0 0 0 
-76.6333 25.345 -299.62 -22.318 30.809 203.953 1.52945 -13 1 1 0 1 -0.00615066 0.00197764 1.95015 0 0 1.10581e-25 
-76.6447 25.364 -299.5 -22.5464 30.5122 203.947 1.52991 -13 1 1 0 1 -0.0102087 -0.0102697 1.95012 0 0 12.6406 
-85.2539 41.2499 -201.157 -13.1771 35.2253 205.815 1.90394 -13 1 1 0 1 -0.00859263 0.00283622 1.93165 0 0 17.9449 
-86.7629 45.7742 -175 -10.5989 36.0387 206.354 2.00327 -13 1 1 0 1 -0.00638235 0.00679978 1.92579 0 0 17.6362 
-89.486 63.3501 -76.6037 -0.853358 37.6422 207.997 2.37645 -13 1 1 0 1 0.0116277 0.0141456 1.90966 0 0 10.6319 
-89.4301 68.078 -50.5 1.74874 37.7304 208.247 2.47536 -13 1 1 0 1 0.0193589 0.0119046 1.90889 0 0 7.61747 
-89.4272 68.0995 -50.38 1.74544 37.6089 208.236 2.47582 -13 1 1 0 1 0.00651572 -0.00502852 1.9089 0 0 6.65752e-26 
-89.4177 68.1491 -50.1 1.77481 37.6081 208.236 2.47688 -13 1 1 0 1 0.00658313 -0.00508405 1.90892 0 0 0 
-89.4108 68.1846 -49.9 1.79542 37.6066 208.235 2.47764 -13 1 1 0 1 0.00663132 -0.0051238 1.90893 0 0 0 
-89.4012 68.2342 -49.62 1.82479 37.6058 208.235 2.4787 -13 1 1 0 1 0.00669878 -0.00517952 1.90895 0 0 1.11814e-25 
-89.3982 68.2556 -49.5 1.64039 37.8489 208.164 2.47915 -13 1 1 0 1 -0.0028887 -0.0177985 1.90896 0 0 12.7795 
-86.0817 85.8075 48.8805 12.525 36.4324 209.78 2.85171 -13 1 1 0 1 0.0411885 -0.0400767 1.94631 0 0 16.7098 
-84.3381 90.3004 75 15.5203 35.7892 210.18 2.95056 -13 1 1 0 1 0.0561462 -0.0515695 1.97228 0 0 16.1699 
-74.3422 106.208 173.205 27.6268 32.0436 211.01 3.32238 -13 1 1 0 1 0.103848 -0.109525 2.14902 0 0 8.92974 
-70.6832 110.108 199.5 31.1025 30.4932 210.979 3.42208 -13 1 1 0 1 0.109713 -0.124717 2.21669 0 0 5.96708 
-70.6629 110.123 199.62 31.273 30.1191 210.962 3.42254 -13 1 1 0 1 0.0886888 -0.138283 2.217 0 0 5.21274e-26 
-70.6127 110.157 199.9 31.3112 30.0989 210.959 3.4236 -13 1 1 0 1 0.0886956 -0.138434 2.21774 0 0 0 
-70.5768 110.181 200.1 31.3379 30.0489 210.962 3.42436 -13 1 1 0 1 0.0886951 -0.138534 2.21828 0 0 0 
-70.5265 110.215 200.38 31.3761 30.0286 210.959 3.42543 -13 1 1 0 1 0.088687 -0.138662 2.21908 0 0 1.1312e-25 
-70.5061 110.23 200.5 31.2401 30.0464 210.947 3.42588 -13 1 1 0 1 0.0750105 -0.147466 2.21941 0 0 12.9275 
-52.9921 121.992 298.225 44.1 19.8045 211.553 3.79716 -13 1 1 0 1 0.0677031 -0.148435 2.50788 0 0 16.0053 
-47.2275 124.256 325 46.9496 15.9126 211.748 3.8991 -13 1 1 0 1 0.0582217 -0.129294 2.58121 0 0 15.2997 
-24.2476 127.729 422.232 51.5504 -1.3997 212.617 4.26972 -13 1 1 0 1 0.0195162 0.0233051 2.71999 0 0 7.74444 
-17.6852 127.214 449.5 50.6942 -6.6052 212.917 4.37362 -13 1 1 0 1 0.0138839 0.0848319 2.70244 0 0 4.58233 
-17.6583 127.207 449.62 50.5793 -6.703 212.906 4.37408 -13 1 1 0 1 -0.0113133 0.0816136 2.70231 0 0 3.99985e-26 
-17.5982 127.187 449.9 50.5652 -6.75769 212.907 4.37514 -13 1 1 0 1 -0.0113671 0.0822689 2.70198 0 0 0 
-17.5553 127.172 450.1 50.5595 -6.7978 212.906 4.3759 -13 1 1 0 1 -0.0114056 0.0827394 2.70174 0 0 0 
-17.4953 127.151 450.38 50.5453 -6.85246 212.907 4.37696 -13 1 1 0 1 -0.0114594 0.0834015 2.70138 0 0 1.21596e-25 
-17.4685 127.144 450.5 50.5174 -6.79257 212.718 4.37742 -13 1 1 0 1 -0.0253149 0.0817853 2.70123 0 0 13.8949 
3.42029 120.023 547.998 39.1952 -23.2773 215.698 4.74759 -13 1 1 0 1 0.0140584 0.316921 2.36743 0 0 16.4579 
8.01176 116.922 575 34.2807 -26.2315 216.686 4.84954 -13 1 1 0 1 0.0352803 0.371467 2.2015 0 0 15.5467 
18.9845 103.827 673.492 14.1054 -30.1504 219.73 5.21906 -13 1 1 0 1 0.11183 0.496518 1.36274 0 0 6.94313 
20.3393 100.283 699.5 8.86515 -29.7262 220.217 5.31613 -13 1 1 0 1 0.125562 0.511072 1.0941 0 0 3.67465 
20.3406 100.268 699.62 8.72325 -29.7722 220.18 5.31657 -13 1 1 0 1 0.104637 0.515376 1.09282 0 0 3.20404e-26 
20.34 100.232 699.9 8.66768 -29.7671 220.183 5.31762 -13 1 1 0 1 0.104697 0.515502 1.08984 0 0 0 
20.1068 87.5212 799.061 -9.23342 -26.8223 219.999 5.68692 -13 1 1 0 1 0.118805 0.516714 -0.0438813 0 0 0 
17.2658 81.7173 848 -15.5826 -25.3841 219.524 5.86932 -13 1 1 0 1 0.103993 0.491742 -0.637276 0 0 0 
16.9626 81.2569 852 -8.61382 -20.6958 215.494 5.88424 -13 1 1 0 1 0.102189 0.489079 -0.685825 0 0 0 
10.5729 71.9932 950.1 -18.1516 -20.4779 214.415 6.25072 -13 1 1 0 1 0.0591299 0.402159 -1.8518 0 0 0 
10.5485 71.9661 950.38 -18.1928 -20.5365 214.404 6.25177 -13 1 1 0 1 0.0589645 0.40181 -1.85493 0 0 1.93464e-25 
10.5382 71.9545 950.5 -18.1451 -20.5206 214.384 6.25222 -13 1 1 0 1 0.0521836 0.402644 -1.85628 0 0 22.1015 
9.09157 70.3421 967.123 -19.058 -20.7665 214.524 6.31445 -13 1 1 0 1 0.0450032 0.380794 -2.04037 0 0 23.0024 
-0.209216 59.4973 1066.09 -19.8505 -27.6967 215.705 6.68524 -13 1 1 0 1 0.00772306 0.214854 -2.95503 0 0 20.587 
-1.01886 58.3394 1075 -19.4023 -28.5398 215.798 6.71865 -13 1 1 0 1 0.00579224 0.197668 -3.01642 0 0 19.7318 
-7.68792 43.7197 1173.69 -8.43209 -34.7538 216.446 7.08889 -13 1 1 0 1 0.00886378 0.0191016 -3.3866 0 0 5.04085 
-8.44346 39.5299 1199.5 -4.19778 -35.1675 216.464 7.18575 -13 1 1 0 1 0.0150122 -0.0168142 -3.38046 0 0 0.245692 
-8.44552 39.5104 1199.62 -4.14241 -35.2121 216.407 7.1862 -13 1 1 0 1 0.00392724 -0.0193416 -3.38036 0 0 1.95399e-27 
-8.44841 39.4647 1199.9 -4.08531 -35.231 216.404 7.18725 -13 1 1 0 1 0.00400877 -0.0196959 -3.38013 0 0 0 
-8.45045 39.4321 1200.1 -4.04875 -35.2298 216.404 7.188 -13 1 1 0 1 0.00406702 -0.0199484 -3.37989 0 0 0 
-8.45327 39.3864 1200.38 -3.99948 -35.2287 216.404 7.18905 -13 1 1 0 1 0.0041486 -0.0203012 -3.37944 0 0 2.05894e-25 
-8.45523 39.3668 1200.5 -3.80178 -35.136 216.342 7.1895 -13 1 1 0 1 0.00103562 -0.0211283 -3.37925 0 0 23.5201 
-8.64753 35.9905 1221.25 0.350277 -34.9116 216.734 7.26733 -13 1 1 0 1 0.00902955 -0.0443785 -3.33794 0 0 24.3989 
-4.68053 20.8818 1319.99 17.1851 -31.3951 218.586 7.6371 -13 1 1 0 1 0.0230565 -0.0889376 -2.7676 0 0 20.1552 
-4.22528 20.1984 1325 17.8217 -31.2122 218.641 7.65584 -13 1 1 0 1 0.0216957 -0.088678 -2.72259 0 0 19.5904 
-0.990718 15.4067 1360.09 22.7502 -27.7784 218.704 7.78723 -13 1 1 0 1 0.00803407 -0.0810667 -2.37814 0 0 14.8574 
9.98609 5.29158 1449.5 30.5537 -22.7187 218.555 8.12209 -13 1 1 0 1 -0.0676664 -0.0382881 -1.28248 0 0 -1.13152 
10.0033 5.27932 1449.62 30.5664 -22.6647 218.534 8.12254 -13 1 1 0 1 -0.0692982 -0.0353804 -1.28087 0 0 -1.01089e-26 
10.0443 5.25048 1449.9 30.5984 -22.6627 218.526 8.12359 -13 1 1 0 1 -0.0696118 -0.0351999 -1.2771 0 0 0 
24.4751 -4.89338 1548.33 32.7512 -23.3949 217.578 8.49306 -13 1 1 0 1 -0.182452 0.0371599 0.133434 0 0 0 
29.9059 -9.05033 1584.9 32.4413 -26.3872 214.171 8.63058 -13 1 1 0 1 -0.220934 0.0674644 0.670299 0 0 0 
39.1315 -18.2302 1650.1 27.5557 -34.0243 213.373 8.877 -13 1 1 0 1 -0.269496 0.125849 1.59954 0 0 0 
39.1576 -18.284 1650.38 27.4902 -34.0797 213.372 8.87806 -13 1 1 0 1 -0.269545 0.126155 1.60334 0 0 2.10575e-25 
39.1705 -18.3056 1650.5 27.4899 -33.8609 213.367 8.87852 -13 1 1 0 1 -0.268641 0.128281 1.60497 0 0 24.0514 
48.232 -36.9984 1748.27 10.5891 -47.9602 214.215 9.24885 -13 1 1 0 1 -0.250761 0.179639 2.80054 0 0 20.1159 
49.1322 -43.1567 1775 3.65582 -50.349 214.331 9.35039 -13 1 1 0 1 -0.222558 0.176595 3.05832 0 0 16.8959 
44.5543 -66.5216 1872.06 -24.6463 -48.8027 213.742 9.72017 -13 1 1 0 1 -0.0643552 0.0500999 3.61664 0 0 0.818682 
41.8359 -71.2473 1893.3 -30.1821 -45.9695 213.398 9.80128 -13 1 1 0 1 -0.0285078 -0.00382632 3.6444 0 0 -2.99619 
40.9374 -72.5695 1899.5 -31.5021 -45.1171 213.333 9.82497 -13 1 1 0 1 -0.0186912 -0.0211119 3.64698 0 0 -4.09274 
40.9179 -72.5933 1899.62 -32.2534 -45.2037 213.156 9.82543 -13 1 1 0 1 0.000974795 -0.0104726 3.64702 0 0 -3.6023e-26 
40.8657 -72.6396 1899.9 -32.3183 -45.171 213.15 9.8265 -13 1 1 0 1 0.00141483 -0.0112829 3.64707 0 0 0 
40.8284 -72.6725 1900.1 -32.3618 -45.1319 213.151 9.82726 -13 1 1 0 1 0.00172844 -0.0118623 3.6471 0 0 0 
40.7761 -72.7186 1900.38 -32.4235 -45.0872 213.15 9.82833 -13 1 1 0 1 0.00216686 -0.0126746 3.64691 0 0 2.00557e-25 
40.7561 -72.7424 1900.5 -32.3475 -44.8429 213.186 9.82879 -13 1 1 0 1 0.00436748 -0.0118965 3.64683 0 0 22.9054 
22.6944 -88.5906 1997.52 -43.9777 -24.0884 216.179 10.1984 -13 1 1 0 1 0.0670121 -0.343849 3.25096 0 0 17.9753 
18.1592 -90.8346 2019.93 -43.7754 -19.6727 216.861 10.2832 -13 1 1 0 1 0.0596149 -0.419335 3.05901 0 0 15.2943 
17.1388 -91.2821 2025 -43.5949 -18.6699 217.051 10.3024 -13 1 1 0 1 0.0569064 -0.435411 3.00979 0 0 14.6242 
6.386 -94.8561 2082.14 -38.0191 -9.20533 219.02 10.5175 -13 1 1 0 1 0.0105548 -0.595091 2.36015 0 0 5.89966 
-3.47173 -96.7115 2149.5 -26.2296 -4.3402 220.492 10.769 -13 1 1 0 1 -0.0545309 -0.717722 1.40568 0 0 -5.47967 
-3.48263 -96.7136 2149.62 -26.3353 -4.4144 220.421 10.7695 -13 1 1 0 1 -0.029406 -0.718792 1.40387 0 0 -4.8155e-26 
-3.50201 -96.7186 2149.9 -26.2614 -4.36696 220.43 10.7705 -13 1 1 0 1 -0.0295564 -0.719176 1.39961 0 0 0 
-10.3647 -98.4853 2249.6 -4.57453 -3.8928 221.454 11.1399 -13 1 1 0 1 -0.0849406 -0.793808 -0.20409 0 0 0 
-6.97541 -100.647 2349.47 18.4915 -4.26769 220.225 11.5095 -13 1 1 0 1 -0.0511527 -0.752259 -1.82217 0 0 0 
-6.91394 -100.658 2350.1 18.6282 -4.27088 220.212 11.5118 -13 1 1 0 1 -0.0506201 -0.751528 -1.83194 0 0 0 
