# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
10 0 -700 0 0 200 0 -13 -2 1 0 1 8.75328e-05 -4.01734e-05 1.97744 0 0 0 
10.0004 0.000783854 -600 0.00171936 0.00342004 199.298 0.377251 -13 -2 1 0 1 0.000163111 -4.40296e-05 1.9751 0 0 0 
10.002 0.00384083 -500 0.00489283 0.00926656 198.594 0.754792 -13 -2 1 0 1 0.000301866 -4.82922e-05 1.97063 0 0 0 
10.0057 0.01082 -400 0.0104848 0.0192241 197.889 1.13263 -13 -2 1 0 1 0.000526161 -5.27893e-05 1.96252 0 0 0 
10.0132 0.0242237 -300 0.0199198 0.0346205 197.183 1.51076 -13 -2 1 0 1 0.000796491 -5.70627e-05 1.94951 0 0 0 
10.0268 0.0464712 -200 0.0345084 0.0526116 196.476 1.88919 -13 -2 1 0 1 0.000865386 -6.13991e-05 1.93228 0 0 0 
10.0491 0.0755321 -100 0.053062 0.0562674 195.767 2.26793 -13 -2 1 0 1 1.04654e-05 -7.26864e-05 1.92115 0 0 0 
10.0802 0.0941613 -1.8748e-05 0.0662082 0.00186574 195.057 2.64698 -13 -2 1 0 1 -0.00281397 -0.000107472 1.94563 0 0 0 
10.1117 0.0570861 100 0.0474966 -0.169039 194.345 3.02633 -13 -2 1 0 1 -0.00755148 -0.000133374 2.04672 0 0 0 
10.1151 -0.102068 200 -0.0525813 -0.462659 193.632 3.40601 -13 -2 1 0 1 -0.0115324 1.49318e-05 2.24046 0 0 0 
10.0342 -0.420426 299.999 -0.282498 -0.745908 192.916 3.786 -13 -2 1 0 1 -0.0101417 0.00031175 2.46858 0 0 0 
9.80606 -0.82652 399.998 -0.596668 -0.746366 192.2 4.16631 -13 -2 1 0 1 -0.000296958 -0.000100975 2.58816 0 0 0 
9.43553 -1.10674 499.997 -0.779621 -0.238578 191.483 4.54696 -13 -2 1 0 1 0.0159232 -0.00200832 2.43253 0 0 0 
9.05401 -0.990945 599.996 -0.617148 0.74307 190.764 4.92793 -13 -2 1 0 1 0.0324318 -0.00370811 1.90318 0 0 0 
8.83263 -0.277221 699.993 -0.219029 2.00821 190.035 5.30924 -13 -2 1 0 1 0.0446772 -0.00158372 1.02933 0 0 0 
8.77857 1.15731 799.983 -0.0873666 3.4588 189.293 5.69089 -13 -2 1 0 1 0.0512998 0.00655333 -0.0716926 0 0 0 
8.56673 3.3868 899.957 -0.935142 4.93056 188.534 6.07288 -13 -2 1 0 1 0.0502246 0.0196179 -1.2545 0 0 0 
