# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event 1 Track 1
-10.117 -0.107102 -700 -36.8734 -8.62632 200.586 0 -13 1 1 0 1 -8.43417e-05 -4.10912e-05 1.97744 0 0 0 
-27.3913 -1.7303 -607.812 -37.7379 1.33775 199.807 0.352372 -13 1 1 0 1 -0.000417354 -7.02702e-05 1.97528 0 0 0 
-45.5939 1.59536 -509.552 -35.9722 12.8478 199.111 0.728277 -13 1 1 0 1 -0.00127595 -3.16794e-06 1.97126 0 0 0 
-62.1729 10.3955 -411.342 -30.6783 22.2496 198.601 1.10442 -13 1 1 0 1 -0.00303985 0.000456434 1.96405 0 0 0 
-75.5535 23.4081 -313.112 -23.1764 29.2363 198.101 1.48078 -13 1 1 0 1 -0.005796 0.00173973 1.95206 0 0 0 
-79.6443 29.1929 -275.45 -19.556 32.1153 197.731 1.62511 -13 1 1 0 1 -0.00690014 0.00247156 1.94602 0 0 0 
-85.4277 41.3443 -204.448 -11.7358 35.059 197.271 1.89738 -13 1 1 0 1 -0.0081596 0.00388838 1.93211 0 0 0 
-88.7345 59.3559 -106.151 -1.53884 37.0723 196.662 2.27434 -13 1 1 0 1 -0.0032929 0.00213818 1.91293 0 0 0 
-86.8462 77.7529 -7.88846 9.08201 35.7835 196.15 2.65153 -13 1 1 0 1 0.0183602 -0.0165053 1.91532 0 0 0 
-85.7764 81.4765 12.6548 11.1855 35.4305 195.925 2.73043 -13 1 1 0 1 0.0254576 -0.0242494 1.92333 0 0 0 
-77.3429 98.4281 110.83 22.8584 30.0941 195.224 3.10792 -13 1 1 0 1 0.063483 -0.0808582 2.02228 0 0 0 
-62.8643 111.973 208.824 34.8492 22.9454 193.87 3.48565 -13 1 1 0 1 0.0802568 -0.143015 2.24383 0 0 0 
-56.6535 115.557 241.491 38.277 19.1655 193.266 3.61206 -13 1 1 0 1 0.0752995 -0.153648 2.33808 0 0 0 
-55.0507 116.33 249.485 38.1639 17.6141 192.052 3.64303 -13 1 1 0 1 0.0731812 -0.1547 2.36197 0 0 0 
-54.3116 116.666 253.184 38.849 17.1317 191.788 3.65737 -13 1 1 0 1 0.0721142 -0.154963 2.37306 0 0 0 
-50.1782 118.309 273.033 40.9383 14.9359 191.119 3.73441 -13 1 1 0 1 0.0652847 -0.153978 2.43225 0 0 0 
-27.2972 121.991 370.275 46.9037 -1.12154 189.692 4.11335 -13 1 1 0 1 0.0162814 -0.07275 2.66684 0 0 0 
-3.96812 116.551 467.32 42.2365 -19.7657 189.176 4.49255 -13 1 1 0 1 -0.00392946 0.116334 2.64902 0 0 0 
13.8408 102.675 564.687 24.846 -32.87 189.867 4.872 -13 1 1 0 1 0.0411119 0.304512 2.23546 0 0 0 
21.302 84.768 662.738 4.1903 -34.5947 190.546 5.2517 -13 1 1 0 1 0.0989214 0.393278 1.44229 0 0 0 
20.5465 72.7334 731.194 -7.70439 -32.2733 190.329 5.51585 -13 1 1 0 1 0.111518 0.3944 0.729425 0 0 0 
13.1996 56.9757 829.654 -19.3644 -28.9364 189.404 5.89604 -13 1 1 0 1 0.078725 0.339392 -0.4179 0 0 0 
1.73722 41.6724 927.806 -23.8861 -30.7876 187.982 6.27651 -13 1 1 0 1 0.00998021 0.238245 -1.58257 0 0 0 
-8.84104 25.304 1017.96 -18.7876 -37.3773 186.747 6.62772 -13 1 1 0 1 -0.0405869 0.115965 -2.52454 0 0 0 
-14.6528 3.86709 1115.42 -1.13808 -43.8084 185.695 7.00875 -13 1 1 0 1 -0.0327419 0.008409 -3.20254 0 0 0 
-14.4594 -1.66987 1138.85 4.22448 -43.4188 185.513 7.10056 -13 1 1 0 1 -0.0220167 -0.00274179 -3.2911 0 0 0 
-6.4799 -22.8986 1236.19 25.6667 -35.0243 184.993 7.48196 -13 1 1 0 1 0.0108925 0.0392368 -3.28046 0 0 0 
10.3277 -37.4231 1333.65 34.7475 -19.9499 185.143 7.86362 -13 1 1 0 1 -0.0488014 0.174791 -2.65857 0 0 0 
28.4619 -45.0753 1431.68 32.8409 -11.2854 185.528 8.24556 -13 1 1 0 1 -0.189393 0.298465 -1.53933 0 0 0 
43.808 -51.5056 1530.27 24.6711 -14.9979 185.95 8.62783 -13 1 1 0 1 -0.325889 0.381563 -0.136778 0 0 0 
53.4128 -62.524 1629.15 10.3132 -27.2034 185.319 9.01038 -13 1 1 0 1 -0.382159 0.444916 1.33098 0 0 0 
52.9042 -80.0822 1727.51 -13.3861 -36.6736 182.829 9.39321 -13 1 1 0 1 -0.300158 0.448967 2.6442 0 0 0 
37.969 -98.5461 1824.54 -41.2313 -28.0978 179.514 9.77636 -13 1 1 0 1 -0.109569 0.269846 3.52777 0 0 0 
14.1102 -106.528 1911.84 -51.8196 -2.80407 178.213 10.1251 -13 1 1 0 1 0.0021924 -0.0694981 3.7258 0 0 0 
12.1656 -106.592 1918.53 -51.7782 -0.860336 178.152 10.1518 -13 1 1 0 1 0.00411983 -0.0980858 3.71352 0 0 0 
-9.02107 -101.668 1998.13 -40.2059 21.5621 179.2 10.4688 -13 1 1 0 1 -0.0423246 -0.396133 3.28054 0 0 0 
-10.415 -100.883 2004.47 -38.1883 22.7901 179.33 10.4939 -13 1 1 0 1 -0.0499436 -0.414669 3.22614 0 0 0 
-21.0033 -91.0535 2069.26 -19.0785 30.4812 180.732 10.7491 -13 1 1 0 1 -0.131247 -0.541536 2.51828 0 0 0 
-23.6464 -85.3499 2102.78 -9.60276 30.8022 181.096 10.8803 -13 1 1 0 1 -0.163058 -0.567928 2.07158 0 0 0 
-24.0746 -74.7999 2167.66 6.96521 26.9617 181.348 11.1332 -13 1 1 0 1 -0.186581 -0.566326 1.10751 0 0 0 
-15.2 -61.7873 2266.37 24.3601 21.2238 179.975 11.5182 -13 1 1 0 1 -0.122272 -0.489721 -0.475571 0 0 0 
0.754544 -49.5535 2364.32 32.5261 25.3863 177.498 11.9034 -13 1 1 0 1 0.007208 -0.349377 -1.9908 0 0 0 
17.5729 -31.8024 2461.25 25.7643 39.9198 175.273 12.289 -13 1 1 0 1 0.0921818 -0.150055 -3.19344 0 0 0 
17.8447 -31.377 2463.11 25.6041 40.4958 175.016 12.2964 -13 1 1 0 1 0.0926148 -0.146166 -3.21214 0 0 0 
21.9106 -23.5568 2494.86 18.5532 45.2759 174.35 12.4236 -13 1 1 0 1 0.091114 -0.0825583 -3.49376 0 0 0 
25.2606 -9.57405 2545.49 4.5259 49.9042 173.28 12.627 -13 1 1 0 1 0.0580712 -0.00846529 -3.79771 0 0 0 
18.9029 17.1903 2641.49 -26.7556 42.8532 172.553 13.0135 -13 1 1 0 1 -0.0279967 -0.0182793 -3.83249 0 0 0 
12.6797 25.0382 2675.94 -35.1008 35.6712 172.388 13.1524 -13 1 1 0 1 -0.0340353 -0.065808 -3.66777 0 0 0 
-10.3993 38.4749 2772.23 -43.9479 14.1524 172.819 13.5394 -13 1 1 0 1 0.0682296 -0.226451 -2.77033 0 0 0 
-14.7528 39.7245 2789.39 -43.1444 10.7222 173.106 13.6082 -13 1 1 0 1 0.100766 -0.250677 -2.55428 0 0 0 
-37.2778 42.9798 2886.75 -35.693 4.57033 174.475 13.9957 -13 1 1 0 1 0.302391 -0.337753 -1.11766 0 0 0 
-54.5296 47.5831 2985.12 -24.9801 14.2799 175.065 14.3835 -13 1 1 0 1 0.450972 -0.385019 0.506698 0 0 0 
-64.2058 60.4741 3083.73 -6.86228 31.4937 173.751 14.7717 -13 1 1 0 1 0.462548 -0.426075 2.07614 0 0 0 
-60.2208 81.4112 3181.3 22.4783 39.7507 170.063 15.1604 -13 1 1 0 1 0.283707 -0.369171 3.31184 0 0 0 
-38.9265 99.8687 3277.08 48.9247 20.0073 167.318 15.5494 -13 1 1 0 1 0.0389933 -0.0743228 3.89071 0 0 0 
-9.92359 101.597 3372.6 46.9883 -13.1149 167.851 15.9388 -13 1 1 0 1 -0.0250954 0.340899 3.61404 0 0 0 
2.06688 95.8719 3421.39 34.6423 -24.6802 168.896 16.136 -13 1 1 0 1 0.0177576 0.494434 3.16375 0 0 0 
6.49879 92.0636 3445.53 27.8119 -28.6881 169.247 16.2329 -13 1 1 0 1 0.0450515 0.544887 2.87869 0 0 0 
13.8723 73.9679 3543.48 -0.944464 -31.4566 170.319 16.6232 -13 1 1 0 1 0.117283 0.597965 1.43025 0 0 0 
11.7278 64.7937 3595.03 -12.6568 -29.1523 169.859 16.828 -13 1 1 0 1 0.106476 0.561289 0.550899 0 0 0 
-0.011179 48.5031 3692.97 -25.9745 -29.1392 167.656 17.2189 -13 1 1 0 1 0.00513693 0.428849 -1.19232 0 0 0 
-8.47688 38.7046 3745.49 -27.3996 -33.6362 166.107 17.4306 -13 1 1 0 1 -0.0659786 0.327058 -2.10441 0 0 0 
-21.4045 15.0342 3841.72 -12.298 -47.7839 163.801 17.8223 -13 1 1 0 1 -0.137831 0.100541 -3.58746 0 0 0 
-22.4661 9.54155 3860.14 -5.47595 -49.5151 162.667 17.8978 -13 1 1 0 1 -0.13419 0.0587227 -3.82767 0 0 0 
-14.9286 -18.9831 3955.45 31.9756 -40.9434 161.305 18.2905 -13 1 1 0 1 -0.0402527 -0.0637971 -4.75495 0 0 0 
11.9326 -32.4689 4050.5 52.9096 -0.775008 160.2 18.6835 -13 1 1 0 1 0.00650523 0.00270511 -5.05774 0 0 0 
39.3066 -20.0551 4145.56 33.8643 38.9177 159.906 19.0771 -13 1 1 0 1 -0.105151 0.0553892 -4.7605 0 0 0 
48.4479 7.15089 4241.13 -2.96494 46.4686 160.74 19.4712 -13 1 1 0 1 -0.197799 -0.0311379 -4.06148 0 0 0 
38.6757 30.7842 4337.68 -25.1571 30.0192 162.073 19.8656 -13 1 1 0 1 -0.160801 -0.130977 -3.22719 0 0 0 
21.0439 43.1173 4435.27 -31.2555 11.4195 162.754 20.2605 -13 1 1 0 1 -0.0741108 -0.155098 -2.45578 0 0 0 
17.4192 44.267 4454.16 -30.7409 8.6078 162.5 20.3367 -13 1 1 0 1 -0.0586033 -0.15229 -2.32374 0 0 0 
-0.381699 45.6764 4552.53 -27.5664 -2.92155 162.572 20.7324 -13 1 1 0 1 0.00140396 -0.119901 -1.73041 0 0 0 
-10.565 43.5823 4616.09 -23.9625 -6.72909 160.872 20.9875 -13 1 1 0 1 0.02286 -0.0939929 -1.42854 0 0 0 
-23.9345 38.059 4715.03 -20.4922 -10.5192 160.515 21.3852 -13 1 1 0 1 0.0372609 -0.0595742 -1.06498 0 0 0 
-35.4838 30.8581 4814.1 -16.7525 -11.8566 160.149 21.7833 -13 1 1 0 1 0.0397897 -0.0348958 -0.801318 0 0 0 
-36.5876 30.0653 4824.75 -16.3029 -11.8995 160.001 21.8261 -13 1 1 0 1 0.0396043 -0.0328288 -0.777558 0 0 0 
-45.945 22.4076 4924.01 -13.6615 -12.9546 159.416 22.2249 -13 1 1 0 1 0.0360468 -0.0177824 -0.593006 0 0 0 
-46.8445 21.5466 4934.59 -13.817 -13.0009 159.078 22.2674 -13 1 1 0 1 0.035532 -0.0165372 -0.576572 0 0 0 
-49.8604 18.6251 4970.15 -13.0698 -13.5837 157.812 22.4105 -13 1 1 0 1 0.0337918 -0.0127899 -0.525164 0 0 0 
-56.6233 11.1647 5056.3 -12.4469 -14.4682 156.961 22.7579 -13 1 1 0 1 0.0294043 -0.00590906 -0.42193 0 0 0 
-64.1191 1.99483 5155.6 -11.6441 -14.8327 156.318 23.1591 -13 1 1 0 1 0.0247804 -0.00083347 -0.331813 0 0 0 
-71.2415 -7.41582 5254.9 -10.3858 -15.9068 155.611 23.5608 -13 1 1 0 1 0.0207661 0.00213277 -0.264293 0 0 0 
-77.1269 -16.6762 5345.77 -10.0274 -15.5212 154.077 23.929 -13 1 1 0 1 0.0175629 0.00379087 -0.216839 0 0 0 
-79.4273 -20.2659 5381.45 -9.91214 -14.4173 152.934 24.074 -13 1 1 0 1 0.0164594 0.00419959 -0.201114 0 0 0 
-83.3344 -26.0095 5442.52 -9.10007 -14.1984 152.535 24.3227 -13 1 1 0 1 0.014755 0.00461339 -0.177405 0 0 0 
-85.309 -29.1052 5475.82 -8.69693 -14.4725 152.224 24.4584 -13 1 1 0 1 0.0138911 0.0047511 -0.165964 0 0 0 
-90.1497 -37.2511 5561.84 -8.17593 -14.8423 151.56 24.809 -13 1 1 0 1 0.0118864 0.00493077 -0.140373 0 0 0 
-95.4332 -46.9428 5661.23 -8.53961 -14.8821 150.851 25.2148 -13 1 1 0 1 0.0099657 0.00492699 -0.116703 0 0 0 
-100.999 -56.7131 5760.59 -9.13033 -13.8988 150.249 25.6212 -13 1 1 0 1 0.00843755 0.00476593 -0.0978388 0 0 0 
-106.32 -64.8399 5848.65 -9.70645 -13.9897 149.428 25.9818 -13 1 1 0 1 0.00734805 0.00450996 -0.0842363 0 0 0 
-112.744 -74.1237 5948.01 -9.25149 -14.3404 148.578 26.3894 -13 1 1 0 1 0.00634403 0.00419928 -0.0716227 0 0 0 
-118.905 -83.6944 6047.36 -8.32967 -14.1076 147.91 26.7978 -13 1 1 0 1 0.00553703 0.00392514 -0.0632115 0 0 0 
-119.313 -84.3863 6054.62 -8.42739 -14.0972 147.78 26.8277 -13 1 1 0 1 0.005478 0.00390209 -0.0625238 0 0 0 
-124.962 -93.8487 6154.01 -8.09563 -13.6184 147.101 27.2369 -13 1 1 0 1 0.00475617 0.00359873 -0.0540782 0 0 0 
-125.619 -94.9532 6165.94 -8.15227 -13.3803 146.896 27.2861 -13 1 1 0 1 0.004677 0.0035619 -0.0531661 0 0 0 
-131.644 -104.418 6265.31 -9.31615 -14.1776 146.052 27.6962 -13 1 1 0 1 0.00409567 0.0032739 -0.0462799 0 0 0 
-133.898 -107.849 6300.68 -9.32287 -13.9748 145.824 27.8424 -13 1 1 0 1 0.00391463 0.00317784 -0.0441113 0 0 0 

# End of Event 1

# Event 2 Track 1
