# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
0 0 0 0 0 200 0 -13 -2 1 0 1 0 0 1.64157 0 0 0 
0 0 100 0 0 200 0.377251 -13 -2 1 0 1 0 0 1.27352 0 0 0 
0 0 200 0 0 200 0.754502 -13 -2 1 0 1 0 0 0.708778 0 0 0 
0 0 300 0 0 200 1.13175 -13 -2 1 0 1 0 0 0.367937 0 0 0 
0 0 350.678 0 0 200 1.32294 -13 -2 1 0 1 0 0 0.268146 0 0 0 

# Event -1 Track 1
0 0 0 0 0 200 0 -13 -1 1 0 1 0 0 1.64157 0 0 0 
0 0 100 0 0 200 0.377251 -13 -1 1 0 1 0 0 1.27352 0 0 0 
0 0 200 0 0 200 0.754502 -13 -1 1 0 1 0 0 0.708778 0 0 0 
0 0 300 0 0 200 1.13175 -13 -1 1 0 1 0 0 0.367937 0 0 0 
0 0 350.678 0 0 200 1.32294 -13 -1 1 0 1 0 0 0.268146 0 0 0 

