#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
36.4426 5.25358 500 -11.5625 -21.1138 198.546 1.89387 -13 1 1 0 1
-73.8772 14.0925 1500 -1.80285 -53.5884 192.679 5.72029 -13 1 1 0 1
78.9185 -26.0896 2500 -15.0097 -50.306 192.987 9.58766 -13 1 1 0 1
-59.6356 29.3162 3500 -30.749 -38.3566 193.864 13.4463 -13 1 1 0 1
17.7308 -20.0573 4500 3.91414 -16.4773 199.282 17.2599 -13 1 1 0 1
33.6032 2.30222 5500 -17.4568 28.8229 197.141 21.0496 -13 1 1 0 1
-69.0678 16.9764 6500 19.4533 40.1621 194.958 24.8706 -13 1 1 0 1
78.4171 -28.1651 7500 19.8775 55.2116 191.198 28.7343 -13 1 1 0 1
-63.9205 30.7272 8500 10.3801 43.2689 194.987 32.5979 -13 1 1 0 1
24.0704 -22.9729 9500 31.7383 10.8745 197.166 36.4185 -13 1 1 0 1
26.8486 4.10853 10500 -13.5236 -10.5355 199.264 40.2081 -13 1 1 0 1
-64.8299 15.0312 11500 -0.489083 -49.268 193.836 44.0221 -13 1 1 0 1
78.2477 -29.2799 12500 -19.7284 -48.7924 192.951 47.8812 -13 1 1 0 1
-65.8758 33.4698 13500 -31.0866 -43.2989 192.766 51.748 -13 1 1 0 1
31.066 -25.4689 14500 -1.0452 -25.1041 198.415 55.5758 -13 1 1 0 1
19.5182 6.9212 15500 -21.3846 20.2149 197.823 59.3668 -13 1 1 0 1
-60.7449 15.019 16500 20.3469 33.4171 196.136 63.1743 -13 1 1 0 1
76.7631 -28.3354 17500 17.3485 55.3018 191.418 67.0281 -13 1 1 0 1
-71.2309 32.9882 18500 14.0116 46.8776 193.923 70.8979 -13 1 1 0 1
36.0564 -21.7735 19500 30.5333 23.9355 196.201 74.7318 -13 1 1 0 1
-12.4588 61.7087 500 31.3819 -7.32258 197.387 1.90123 -13 2 1 0 1
-25.9608 -100.785 1500 79.2988 -7.7608 183.443 5.79371 -13 2 1 0 1
57.7001 114.275 2500 66.6057 -43.9039 183.402 9.78551 -13 2 1 0 1
-75.2136 -127.408 3500 101.038 -41.0388 167.652 13.8873 -13 2 1 0 1
129.704 137.553 4500 46.5878 -136.238 138.812 18.2996 -13 2 1 0 1
-14.1902 -39.7871 500 -18.648 0.581153 199.128 1.89465 -13 3 1 0 1
40.3131 8.62277 1500 -9.84386 38.5044 196.011 5.69525 -13 3 1 0 1
-41.6201 27.2023 2500 15.1765 16.8852 198.707 9.49995 -13 3 1 0 1
24.9279 -50.1504 3500 41.3059 21.2659 194.529 13.3153 -13 3 1 0 1
1.63586 52.9095 4500 25.2284 2.17959 198.39 17.1331 -13 3 1 0 1
-27.8713 -32.1977 5500 28.8008 -28.5971 195.839 20.9412 -13 3 1 0 1
42.3509 -2.15883 6500 -3.14351 -15.5093 199.373 24.7423 -13 3 1 0 1
-37.4353 35.1868 7500 -27.9644 -34.4329 195.019 28.5494 -13 3 1 0 1
17.5271 -53.9937 8500 -26.9087 -8.98613 197.978 32.3665 -13 3 1 0 1
10.0888 49.2374 9500 -42.149 12.1349 195.131 36.1827 -13 3 1 0 1
-33.6862 -24.5626 10500 -10.2847 11.0095 199.432 39.9886 -13 3 1 0 1
