# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
0 0 0 0 0 200 0 -13 -2 1 0 1 -6.89936e-23 -3.69473e-07 0.0010097 0 0 0 
6.92963e-13 -1.75084e-18 0.0005 5.53826e-11 -2.09555e-20 200 1.88625e-06 -13 -2 1 0 1 -2.08226e-19 -3.69473e-07 0.0010097 0 0 0 
6.93171e-09 -1.75154e-14 5.0005 5.54698e-07 -2.10325e-12 200 0.0188644 -13 -2 1 0 1 -2.09103e-15 -3.7056e-07 0.00101272 0 0 0 
2.77491e-08 -1.40454e-13 10.0005 1.11097e-06 -8.44133e-12 200 0.037727 -13 -2 1 0 1 -8.40409e-15 -3.71647e-07 0.00101574 0 0 0 
6.24936e-08 -4.75239e-13 15.0005 1.66887e-06 -1.90583e-11 200 0.0565895 -13 -2 1 0 1 -1.9002e-14 -3.72737e-07 0.00101877 0 0 0 
1.11206e-07 -1.1294e-12 20.0005 2.22841e-06 -3.39986e-11 200 0.0754521 -13 -2 1 0 1 -3.39485e-14 -3.73836e-07 0.00102182 0 0 0 
1.73928e-07 -2.21157e-12 25.0005 2.7896e-06 -5.3307e-11 200 0.0943146 -13 -2 1 0 1 -5.33074e-14 -3.74935e-07 0.00102488 0 0 0 
2.507e-07 -3.83153e-12 30.0005 3.35244e-06 -7.7029e-11 200 0.113177 -13 -2 1 0 1 -7.71438e-14 -3.76039e-07 0.00102795 0 0 0 
3.41564e-07 -6.10018e-12 35.0005 3.91694e-06 -1.0521e-10 200 0.13204 -13 -2 1 0 1 -1.05524e-13 -3.7715e-07 0.00103104 0 0 0 
4.46561e-07 -9.12957e-12 40.0005 4.4831e-06 -1.37896e-10 200 0.150902 -13 -2 1 0 1 -1.38513e-13 -3.78261e-07 0.00103413 0 0 0 
5.65733e-07 -1.30329e-11 45.0005 5.05094e-06 -1.75134e-10 200 0.169765 -13 -2 1 0 1 -1.7618e-13 -3.7938e-07 0.00103724 0 0 0 
6.99122e-07 -1.79246e-11 50.0005 5.62046e-06 -2.16971e-10 200 0.188627 -13 -2 1 0 1 -2.18592e-13 -3.80503e-07 0.00104036 0 0 0 
8.4677e-07 -2.39202e-11 55.0005 6.19166e-06 -2.63454e-10 200 0.20749 -13 -2 1 0 1 -2.65816e-13 -3.81626e-07 0.00104349 0 0 0 
1.00872e-06 -3.11365e-11 60.0005 6.76455e-06 -3.14631e-10 200 0.226352 -13 -2 1 0 1 -3.17927e-13 -3.8276e-07 0.00104664 0 0 0 
1.18501e-06 -3.96913e-11 65.0005 7.33914e-06 -3.70551e-10 200 0.245215 -13 -2 1 0 1 -3.74991e-13 -3.83895e-07 0.0010498 0 0 0 
1.37569e-06 -4.97039e-11 70.0005 7.91544e-06 -4.31261e-10 200 0.264077 -13 -2 1 0 1 -4.37079e-13 -3.85032e-07 0.00105296 0 0 0 
1.5808e-06 -6.12947e-11 75.0005 8.49345e-06 -4.96811e-10 200 0.28294 -13 -2 1 0 1 -5.04269e-13 -3.8618e-07 0.00105615 0 0 0 
1.80038e-06 -7.45852e-11 80.0005 9.07318e-06 -5.67252e-10 200 0.301803 -13 -2 1 0 1 -5.76627e-13 -3.87327e-07 0.00105935 0 0 0 
2.03447e-06 -8.96984e-11 85.0005 9.65463e-06 -6.42632e-10 200 0.320665 -13 -2 1 0 1 -6.54229e-13 -3.88479e-07 0.00106255 0 0 0 
