# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
20 0 -5000 0 0 200 0 -13 -2 1 0 1 -2.41535e-05 0 0.00405044 0 0 0 
20 -9.29702e-10 -5000 -5.49544e-18 -3.62051e-09 200 1.88625e-06 -13 -2 1 0 1 -2.41535e-05 1.12278e-15 0.00405044 0 0 0 
20 -0.000185943 -4900 -2.3744e-07 -0.000753838 200 0.377253 -13 -2 1 0 1 -2.61703e-05 2.4331e-10 0.00430194 0 0 0 
20 -0.000764433 -4800 -1.0278e-06 -0.00157126 200 0.754504 -13 -2 1 0 1 -2.84009e-05 1.08553e-09 0.00457457 0 0 0 
20 -0.00176894 -4700 -2.50757e-06 -0.00245913 200 1.13175 -13 -2 1 0 1 -3.0874e-05 2.73071e-09 0.00487072 0 0 0 
20 -0.00323658 -4600 -4.84383e-06 -0.00342516 200 1.50901 -13 -2 1 0 1 -3.3622e-05 5.44102e-09 0.00519297 0 0 0 
20 -0.00520859 -4500 -8.24156e-06 -0.00447814 200 1.88626 -13 -2 1 0 1 -3.66806e-05 9.55271e-09 0.00554411 0 0 0 
20 -0.00773087 -4400 -1.29525e-05 -0.00562805 200 2.26351 -13 -2 1 0 1 -4.00966e-05 1.54991e-08 0.00592776 0 0 0 
20 -0.0108547 -4300 -1.92867e-05 -0.00688627 200 2.64076 -13 -2 1 0 1 -4.3917e-05 2.38353e-08 0.00634741 0 0 0 
20 -0.0146374 -4200 -2.76269e-05 -0.00826586 200 3.01801 -13 -2 1 0 1 -4.82028e-05 3.52782e-08 0.00680758 0 0 0 
20 -0.0191432 -4100 -3.84466e-05 -0.00978172 200 3.39526 -13 -2 1 0 1 -5.30236e-05 5.07523e-08 0.00731326 0 0 0 
19.9999 -0.0244447 -4000 -5.23335e-05 -0.0114511 200 3.77251 -13 -2 1 0 1 -5.8458e-05 7.14496e-08 0.00786993 0 0 0 
19.9999 -0.0306232 -3900 -7.00198e-05 -0.0132939 200 4.14976 -13 -2 1 0 1 -6.46095e-05 9.8928e-08 0.00848478 0 0 0 
19.9999 -0.0377712 -3800 -9.24198e-05 -0.015333 200 4.52701 -13 -2 1 0 1 -7.15856e-05 1.35195e-07 0.00916491 0 0 0 
