# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
20 0 -5000 0 0 200 0 -13 -2 1 0 1 -2.41535e-05 3.46959e-07 0.00405044 0 0 0 
20 -9.29699e-10 -5000 -5.20078e-11 -3.62051e-09 200 1.88625e-06 -13 -2 1 0 1 -2.41535e-05 3.46959e-07 0.00405044 0 0 0 
20 -0.000185943 -4900 -1.09538e-05 -0.000753835 200 0.377253 -13 -2 1 0 1 -2.61703e-05 3.68471e-07 0.00430194 0 0 0 
20 -0.000764428 -4800 -2.31235e-05 -0.00157125 200 0.754504 -13 -2 1 0 1 -2.84008e-05 3.92324e-07 0.00457457 0 0 0 
20 -0.00176893 -4700 -3.67014e-05 -0.00245909 200 1.13175 -13 -2 1 0 1 -3.08739e-05 4.18932e-07 0.00487072 0 0 0 
20 -0.00323654 -4600 -5.19157e-05 -0.00342509 200 1.50901 -13 -2 1 0 1 -3.36219e-05 4.48768e-07 0.00519297 0 0 0 
19.9999 -0.0052085 -4500 -6.90399e-05 -0.00447803 200 1.88626 -13 -2 1 0 1 -3.66805e-05 4.82367e-07 0.00554411 0 0 0 
19.9999 -0.00773071 -4400 -8.84012e-05 -0.00562787 200 2.26351 -13 -2 1 0 1 -4.00964e-05 5.20509e-07 0.00592776 0 0 0 
19.9998 -0.0108544 -4300 -0.000110393 -0.00688601 200 2.64076 -13 -2 1 0 1 -4.39167e-05 5.63971e-07 0.00634741 0 0 0 
19.9998 -0.0146369 -4200 -0.000135494 -0.00826548 200 3.01801 -13 -2 1 0 1 -4.82023e-05 6.13859e-07 0.00680758 0 0 0 
19.9997 -0.0191426 -4100 -0.00016428 -0.00978121 200 3.39526 -13 -2 1 0 1 -5.30229e-05 6.71496e-07 0.00731326 0 0 0 
19.9996 -0.0244437 -4000 -0.000197459 -0.0114504 200 3.77251 -13 -2 1 0 1 -5.84571e-05 7.38462e-07 0.00786993 0 0 0 
19.9995 -0.0306219 -3900 -0.000235894 -0.0132929 200 4.14976 -13 -2 1 0 1 -6.46082e-05 8.16976e-07 0.00848478 0 0 0 
19.9994 -0.0377694 -3800 -0.000280647 -0.0153318 200 4.52701 -13 -2 1 0 1 -7.15839e-05 9.09495e-07 0.00916491 0 0 0 
19.9992 -0.0459909 -3700 -0.000333038 -0.0175939 200 4.90426 -13 -2 1 0 1 -7.95248e-05 1.01943e-06 0.00991957 0 0 0 
19.999 -0.0554056 -3600 -0.000394699 -0.0201103 200 5.28151 -13 -2 1 0 1 -8.85954e-05 1.15105e-06 0.0107592 0 0 0 
19.9988 -0.0661496 -3500 -0.000467677 -0.0229178 200 5.65876 -13 -2 1 0 1 -9.8986e-05 1.30968e-06 0.0116956 0 0 0 
19.9986 -0.078379 -3400 -0.000554546 -0.0260595 200 6.03602 -13 -2 1 0 1 -0.00011095 1.50273e-06 0.0127442 0 0 0 
19.9983 -0.0922732 -3300 -0.000658556 -0.0295864 200 6.41327 -13 -2 1 0 1 -0.000124761 1.73916e-06 0.013921 0 0 0 
19.9979 -0.10804 -3200 -0.000783853 -0.0335592 200 6.79052 -13 -2 1 0 1 -0.000140782 2.03131e-06 0.0152467 0 0 0 
19.9975 -0.125919 -3100 -0.000935741 -0.0380502 200 7.16777 -13 -2 1 0 1 -0.000159449 2.3954e-06 0.0167457 0 0 0 
19.997 -0.146191 -3000 -0.00112108 -0.0431463 200 7.54502 -13 -2 1 0 1 -0.000181284 2.85262e-06 0.0184459 0 0 0 
19.9963 -0.169183 -2900 -0.00134877 -0.0489524 200 7.92227 -13 -2 1 0 1 -0.000206993 3.4329e-06 0.0203847 0 0 0 
19.9956 -0.195282 -2800 -0.0016305 -0.0555954 200 8.29952 -13 -2 1 0 1 -0.000237374 4.17487e-06 0.0226021 0 0 0 
19.9947 -0.224944 -2700 -0.0019817 -0.0632311 200 8.67677 -13 -2 1 0 1 -0.000273508 5.13332e-06 0.0251516 0 0 0 
19.9936 -0.25871 -2600 -0.00242295 -0.0720501 200 9.05402 -13 -2 1 0 1 -0.000316742 6.3836e-06 0.0280972 0 0 0 
19.9923 -0.29723 -2500 -0.00298201 -0.0822891 200 9.43127 -13 -2 1 0 1 -0.000368754 8.02989e-06 0.0315158 0 0 0 
19.9906 -0.341285 -2400 -0.00369657 -0.0942429 200 9.80852 -13 -2 1 0 1 -0.000431874 1.02245e-05 0.0355117 0 0 0 
19.9885 -0.39182 -2300 -0.00461851 -0.108282 200 10.1858 -13 -2 1 0 1 -0.000508891 1.31785e-05 0.0402035 0 0 0 
19.9859 -0.449992 -2200 -0.00582008 -0.124875 200 10.563 -13 -2 1 0 1 -0.000603695 1.72054e-05 0.0457524 0 0 0 
19.9826 -0.51722 -2100 -0.00740298 -0.144624 200 10.9403 -13 -2 1 0 1 -0.000721384 2.27647e-05 0.0523615 0 0 0 
19.9784 -0.59527 -2000 -0.00951274 -0.168303 200 11.3175 -13 -2 1 0 1 -0.000868639 3.05368e-05 0.0602854 0 0 0 
19.973 -0.686345 -1900 -0.0123602 -0.196923 200 11.6948 -13 -2 1 0 1 -0.00105513 4.15796e-05 0.0698822 0 0 0 
19.9659 -0.793235 -1800 -0.0162558 -0.231812 200 12.072 -13 -2 1 0 1 -0.00129325 5.74894e-05 0.0815874 0 0 0 
19.9565 -0.919495 -1700 -0.0216657 -0.274746 200 12.4493 -13 -2 1 0 1 -0.0016011 8.08174e-05 0.0960166 0 0 0 
19.9439 -1.06971 -1600 -0.0293004 -0.328108 200 12.8265 -13 -2 1 0 1 -0.002004 0.000115651 0.113994 0 0 0 
19.9267 -1.24988 -1500 -0.0402685 -0.395154 200 13.2038 -13 -2 1 0 1 -0.00253736 0.000168644 0.136624 0 0 0 
19.9028 -1.46789 -1400 -0.0563346 -0.480363 199.999 13.581 -13 -2 1 0 1 -0.00325537 0.000251167 0.165542 0 0 0 
19.869 -1.73429 -1300 -0.080374 -0.589964 199.999 13.9583 -13 -2 1 0 1 -0.00423318 0.000382424 0.202916 0 0 0 
19.8203 -2.06336 -1200 -0.117197 -0.732715 199.999 14.3355 -13 -2 1 0 1 -0.00558651 0.000596624 0.252003 0 0 0 
19.7483 -2.47454 -1100 -0.175043 -0.920864 199.998 14.7128 -13 -2 1 0 1 -0.00748686 0.000955501 0.317518 0 0 0 
19.6394 -2.99461 -1000 -0.268434 -1.17152 199.996 15.09 -13 -2 1 0 1 -0.0101837 0.0015724 0.406305 0 0 0 
19.4697 -3.66026 -900.006 -0.42354 -1.50755 199.994 15.4673 -13 -2 1 0 1 -0.0140571 0.00266376 0.529122 0 0 0 
19.1978 -4.521 -800.01 -0.688398 -1.95665 199.989 15.8445 -13 -2 1 0 1 -0.0195903 0.00463352 0.701297 0 0 0 
18.7487 -5.63989 -700.017 -1.15158 -2.54257 199.981 16.2218 -13 -2 1 0 1 -0.0273323 0.00823495 0.946264 0 0 0 
17.9874 -7.08467 -600.031 -1.97095 -3.25102 199.964 16.599 -13 -2 1 0 1 -0.0374554 0.0147443 1.29678 0 0 0 
16.6768 -8.88808 -500.056 -3.39727 -3.93099 199.933 16.9763 -13 -2 1 0 1 -0.0485122 0.0257961 1.7922 0 0 0 
14.443 -10.9295 -400.102 -5.69403 -4.07167 199.877 17.3535 -13 -2 1 0 1 -0.0552132 0.0416182 2.46663 0 0 0 
10.8609 -12.6846 -300.183 -8.67107 -2.54756 199.796 17.7308 -13 -2 1 0 1 -0.0481238 0.0558604 3.30189 0 0 0 
5.92769 -12.9781 -200.308 -10.6413 1.89833 199.708 18.108 -13 -2 1 0 1 -0.0243619 0.052753 4.17573 0 0 0 
0.944213 -10.4325 -100.469 -8.33104 8.30536 199.654 18.4853 -13 -2 1 0 1 -0.00237049 0.0253875 4.85668 0 0 0 
-1.46964 -5.14164 -0.646488 -0.660036 11.9272 199.643 18.8625 -13 -2 1 0 1 2.52843e-05 -0.000804734 5.11763 0 0 0 
-1.45747 -5.10594 -0.0005 -0.600652 11.9303 199.643 18.865 -13 -2 1 0 1 -1.51926e-08 -0.000893294 5.11789 0 0 0 
-1.45745 -5.10589 0.0005 -0.60056 11.9303 199.643 18.865 -13 -2 1 0 1 -5.40414e-08 -0.00089343 5.11789 0 0 0 
0.450607 0.400597 99.822 7.78916 9.05961 199.643 19.2422 -13 -2 1 0 1 0.00112497 0.000195688 4.85827 0 0 0 
5.53339 3.32223 199.644 11.6195 2.473 199.647 19.6195 -13 -2 1 0 1 0.0227038 0.0130446 4.18051 0 0 0 
11.311 3.09705 299.473 10.9904 -2.9201 199.676 19.9967 -13 -2 1 0 1 0.0501286 0.0133798 3.30829 0 0 0 
16.2813 0.884641 399.324 8.84838 -5.50425 199.728 20.374 -13 -2 1 0 1 0.0623401 0.00322247 2.47295 0 0 0 
20.2201 -2.08931 499.202 7.01859 -6.17833 199.781 20.7512 -13 -2 1 0 1 0.0589749 -0.00615328 1.79696 0 0 0 
23.4159 -5.16048 599.103 5.86973 -6.03344 199.823 21.1285 -13 -2 1 0 1 0.0489026 -0.0107858 1.29982 0 0 0 
26.1758 -8.08574 699.022 5.2365 -5.65469 199.851 21.5057 -13 -2 1 0 1 0.0382776 -0.0118111 0.948248 0 0 0 
28.7033 -10.8145 798.953 4.91115 -5.26733 199.87 21.883 -13 -2 1 0 1 0.0293766 -0.0110481 0.702489 0 0 0 
31.1147 -13.3628 898.892 4.75431 -4.93684 199.883 22.2602 -13 -2 1 0 1 0.0225241 -0.00965235 0.52983 0 0 0 
33.4722 -15.7623 998.835 4.68636 -4.67125 199.891 22.6375 -13 -2 1 0 1 0.0173978 -0.0081731 0.406724 0 0 0 
35.8086 -18.0434 1098.78 4.66441 -4.46171 199.896 23.0147 -13 -2 1 0 1 0.0136027 -0.00683681 0.31773 0 0 0 
38.1404 -20.2314 1198.73 4.66573 -4.29667 199.899 23.392 -13 -2 1 0 1 0.010771 -0.00569834 0.252134 0 0 0 
40.4761 -22.3458 1298.68 4.6783 -4.16587 199.902 23.7693 -13 -2 1 0 1 0.00863858 -0.00475618 0.202977 0 0 0 
42.8195 -24.4016 1398.63 4.69578 -4.06129 199.904 24.1465 -13 -2 1 0 1 0.0070146 -0.00398633 0.165567 0 0 0 
45.1722 -26.4104 1498.58 4.71483 -3.97683 199.905 24.5238 -13 -2 1 0 1 0.00576005 -0.00335817 0.136627 0 0 0 
47.5344 -28.381 1598.54 4.73377 -3.90788 199.906 24.901 -13 -2 1 0 1 0.00478191 -0.00284693 0.113976 0 0 0 
49.9058 -30.3203 1698.49 4.75174 -3.85102 199.906 25.2783 -13 -2 1 0 1 0.00400849 -0.00242831 0.095996 0 0 0 
52.2859 -32.2336 1798.44 4.7684 -3.80366 199.907 25.6555 -13 -2 1 0 1 0.00339015 -0.00208387 0.0815607 0 0 0 
54.6739 -34.1252 1898.4 4.78362 -3.76387 199.907 26.0328 -13 -2 1 0 1 0.00289105 -0.00179915 0.0698556 0 0 0 
57.0693 -35.9985 1998.35 4.79741 -3.73015 199.908 26.41 -13 -2 1 0 1 0.00248346 -0.00156187 0.0602589 0 0 0 
59.4711 -37.8562 2098.3 4.80987 -3.70135 199.908 26.7873 -13 -2 1 0 1 0.00214848 -0.00136351 0.0523328 0 0 0 
61.8789 -39.7005 2198.26 4.8211 -3.67659 199.908 27.1645 -13 -2 1 0 1 0.00187044 -0.00119643 0.0457263 0 0 0 
64.292 -41.5333 2298.21 4.83121 -3.65514 199.908 27.5418 -13 -2 1 0 1 0.00163785 -0.00105486 0.0401778 0 0 0 
