# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
20 0 -5000 0 0 200 0 -13 -2 1 0 1 -2.41501e-05 3.4695e-05 0.00404986 0 0 0 
20 -9.29292e-10 -5000 -5.20065e-09 -3.62002e-09 200 1.88625e-06 -13 -2 1 0 1 -2.41502e-05 3.4695e-05 0.00404986 0 0 0 
19.9997 -0.000185861 -4900 -0.00107183 -0.000753391 200 0.377253 -13 -2 1 0 1 -2.61662e-05 3.68216e-05 0.00430131 0 0 0 
19.9989 -0.000763855 -4800 -0.00221051 -0.00156958 200 0.754504 -13 -2 1 0 1 -2.83951e-05 3.9123e-05 0.0045739 0 0 0 
19.9975 -0.00176702 -4700 -0.00342176 -0.00245525 200 1.13175 -13 -2 1 0 1 -3.08657e-05 4.16214e-05 0.00487002 0 0 0 
19.9955 -0.00323193 -4600 -0.00471185 -0.00341791 200 1.50901 -13 -2 1 0 1 -3.36096e-05 4.43365e-05 0.00519222 0 0 0 
19.9928 -0.00519918 -4500 -0.00608786 -0.0044661 200 1.88626 -13 -2 1 0 1 -3.66626e-05 4.72903e-05 0.00554334 0 0 0 
19.9894 -0.0077139 -4400 -0.00755757 -0.0056095 200 2.26351 -13 -2 1 0 1 -4.00702e-05 5.05164e-05 0.00592694 0 0 0 
19.9852 -0.0108264 -4300 -0.00912973 -0.00685912 200 2.64076 -13 -2 1 0 1 -4.38791e-05 5.40375e-05 0.00634653 0 0 0 
19.9802 -0.0145928 -4200 -0.0108141 -0.00822754 200 3.01801 -13 -2 1 0 1 -4.81492e-05 5.78932e-05 0.00680664 0 0 0 
19.9744 -0.0190761 -4100 -0.0126216 -0.00972913 200 3.39526 -13 -2 1 0 1 -5.29486e-05 6.21237e-05 0.00731222 0 0 0 
19.9676 -0.0243469 -4000 -0.0145646 -0.0113805 200 3.77251 -13 -2 1 0 1 -5.83557e-05 6.67713e-05 0.00786883 0 0 0 
19.9598 -0.0304847 -3900 -0.016657 -0.0132006 200 4.14976 -13 -2 1 0 1 -6.44709e-05 7.19012e-05 0.00848357 0 0 0 
19.9509 -0.0375792 -3800 -0.0189147 -0.0152115 200 4.52701 -13 -2 1 0 1 -7.14e-05 7.75619e-05 0.00916358 0 0 0 
19.9408 -0.0457322 -3700 -0.0213557 -0.0174389 200 4.90426 -13 -2 1 0 1 -7.92821e-05 8.38353e-05 0.0099182 0 0 0 
19.9295 -0.0550591 -3600 -0.0240005 -0.0199123 200 5.28151 -13 -2 1 0 1 -8.82758e-05 9.08025e-05 0.0107577 0 0 0 
19.9168 -0.0656914 -3500 -0.0268726 -0.0226668 200 5.65876 -13 -2 1 0 1 -9.8569e-05 9.85536e-05 0.0116941 0 0 0 
19.9026 -0.0777795 -3400 -0.0299991 -0.0257431 200 6.03602 -13 -2 1 0 1 -0.000110406 0.000107227 0.0127426 0 0 0 
19.8868 -0.091496 -3300 -0.0334109 -0.0291892 200 6.41327 -13 -2 1 0 1 -0.000124051 0.000116923 0.0139192 0 0 0 
19.8691 -0.10704 -3200 -0.0371445 -0.0330623 200 6.79052 -13 -2 1 0 1 -0.000139859 0.000127829 0.0152447 0 0 0 
19.8496 -0.124641 -3100 -0.0412416 -0.0374298 200 7.16777 -13 -2 1 0 1 -0.00015825 0.000140131 0.0167434 0 0 0 
19.8278 -0.144565 -3000 -0.0457519 -0.042373 200 7.54502 -13 -2 1 0 1 -0.000179729 0.000154041 0.0184435 0 0 0 
19.8037 -0.167126 -2900 -0.0507337 -0.0479891 200 7.92227 -13 -2 1 0 1 -0.000204972 0.000169885 0.0203819 0 0 0 
19.777 -0.192686 -2800 -0.0562558 -0.0543956 200 8.29952 -13 -2 1 0 1 -0.000234748 0.000187943 0.0225991 0 0 0 
19.7474 -0.221677 -2700 -0.0624012 -0.0617356 200 8.67677 -13 -2 1 0 1 -0.000270094 0.000208664 0.0251485 0 0 0 
19.7145 -0.254606 -2600 -0.0692686 -0.0701838 200 9.05402 -13 -2 1 0 1 -0.000312288 0.000232546 0.0280939 0 0 0 
19.678 -0.292081 -2500 -0.0769789 -0.0799555 200 9.43127 -13 -2 1 0 1 -0.000362932 0.000260167 0.0315126 0 0 0 
19.6373 -0.334826 -2400 -0.085679 -0.0913174 200 9.80852 -13 -2 1 0 1 -0.00042422 0.000292419 0.0355083 0 0 0 
19.5921 -0.383718 -2300 -0.0955496 -0.104602 200 10.1858 -13 -2 1 0 1 -0.000498761 0.000330113 0.0401992 0 0 0 
19.5416 -0.439818 -2200 -0.106817 -0.120227 200 10.563 -13 -2 1 0 1 -0.000590227 0.00037461 0.0457477 0 0 0 
19.485 -0.504423 -2100 -0.119766 -0.138724 200 10.9403 -13 -2 1 0 1 -0.000703352 0.000427498 0.0523557 0 0 0 
19.4214 -0.579133 -2000 -0.134762 -0.160773 200 11.3175 -13 -2 1 0 1 -0.000844348 0.000490716 0.0602794 0 0 0 
19.3498 -0.665933 -1900 -0.152278 -0.187251 200 11.6948 -13 -2 1 0 1 -0.00102211 0.000567344 0.0698751 0 0 0 
19.2686 -0.76731 -1800 -0.172937 -0.219298 200 12.072 -13 -2 1 0 1 -0.00124797 0.000660637 0.0815794 0 0 0 
19.1762 -0.886408 -1700 -0.197576 -0.258422 200 12.4493 -13 -2 1 0 1 -0.00153841 0.000775826 0.0960095 0 0 0 
19.0702 -1.02724 -1600 -0.227336 -0.306616 200 12.8265 -13 -2 1 0 1 -0.00191615 0.000919744 0.113987 0 0 0 
18.9477 -1.19498 -1500 -0.263823 -0.366566 199.999 13.2038 -13 -2 1 0 1 -0.00241281 0.00110153 0.136622 0 0 0 
18.8049 -1.39636 -1400 -0.309327 -0.441899 199.999 13.581 -13 -2 1 0 1 -0.00307616 0.00133631 0.165545 0 0 0 
18.6364 -1.64025 -1300 -0.36722 -0.537551 199.999 13.9583 -13 -2 1 0 1 -0.00397119 0.00164275 0.202926 0 0 0 
18.4348 -1.93841 -1200 -0.44261 -0.660277 199.998 14.3355 -13 -2 1 0 1 -0.0051969 0.00205227 0.252021 0 0 0 
18.1895 -2.30655 -1100 -0.543442 -0.819229 199.998 14.7128 -13 -2 1 0 1 -0.00689703 0.00261223 0.317544 0 0 0 
17.885 -2.76571 -1000 -0.682549 -1.02666 199.996 15.09 -13 -2 1 0 1 -0.0092759 0.00339435 0.406359 0 0 0 
17.4972 -3.34384 -900.007 -0.881084 -1.29794 199.994 15.4673 -13 -2 1 0 1 -0.0126357 0.00452215 0.529217 0 0 0 
16.9882 -4.07706 -800.011 -1.17465 -1.64957 199.99 15.8445 -13 -2 1 0 1 -0.0173402 0.00617084 0.701471 0 0 0 
16.2969 -5.00846 -700.017 -1.6232 -2.09048 199.982 16.2218 -13 -2 1 0 1 -0.023767 0.00860055 0.946626 0 0 0 
15.3235 -6.17853 -600.029 -2.32205 -2.59405 199.97 16.599 -13 -2 1 0 1 -0.0319237 0.0120444 1.29745 0 0 0 
13.912 -7.59209 -500.049 -3.39684 -3.02699 199.948 16.9763 -13 -2 1 0 1 -0.0404937 0.016199 1.79348 0 0 0 
11.8522 -9.13292 -400.083 -4.90598 -3.01121 199.917 17.3535 -13 -2 1 0 1 -0.0453378 0.0185567 2.46878 0 0 0 
8.98824 -10.4098 -300.132 -6.48502 -1.83387 199.886 17.7308 -13 -2 1 0 1 -0.0398441 0.0116805 3.30496 0 0 0 
5.57908 -10.6737 -200.192 -6.75944 1.04118 199.883 18.108 -13 -2 1 0 1 -0.0229103 -0.0147618 4.17885 0 0 0 
2.78771 -9.27332 -100.242 -3.75719 4.39448 199.916 18.4853 -13 -2 1 0 1 -0.00697441 -0.0572293 4.8586 0 0 0 
2.35567 -6.7592 -0.278985 2.29416 4.93373 199.926 18.8625 -13 -2 1 0 1 -1.01056e-05 -0.0892961 5.11743 0 0 0 
2.36291 -6.75454 -0.0005 2.31216 4.92881 199.926 18.8636 -13 -2 1 0 1 7.39154e-06 -0.0893465 5.11745 0 0 0 
2.36294 -6.75452 0.0005 2.31222 4.92879 199.926 18.8636 -13 -2 1 0 1 7.45455e-06 -0.0893467 5.11745 0 0 0 
4.97086 -5.08636 99.948 7.63774 1.16428 199.851 19.2409 -13 -2 1 0 1 0.0124316 -0.0931416 4.85729 0 0 0 
9.3631 -5.83466 199.845 9.30273 -4.06439 199.742 19.6181 -13 -2 1 0 1 0.0384436 -0.0825562 4.17772 0 0 0 
13.8222 -8.8423 299.699 8.29207 -7.55859 199.685 19.9954 -13 -2 1 0 1 0.0612441 -0.07368 3.30449 0 0 0 
17.584 -13.0189 399.541 6.80033 -8.85171 199.688 20.3726 -13 -2 1 0 1 0.0672814 -0.0662219 2.46877 0 0 0 
20.7117 -17.4908 499.392 5.81161 -8.9131 199.717 20.7499 -13 -2 1 0 1 0.0603261 -0.0568572 1.79329 0 0 0 
23.484 -21.8639 599.258 5.34778 -8.54988 199.746 21.1271 -13 -2 1 0 1 0.0489642 -0.0464162 1.297 0 0 0 
26.1115 -26.0319 699.136 5.19842 -8.12641 199.767 21.5044 -13 -2 1 0 1 0.0381159 -0.0367006 0.946124 0 0 0 
28.7072 -29.9998 799.024 5.2001 -7.75727 199.782 21.8816 -13 -2 1 0 1 0.0293231 -0.028631 0.700872 0 0 0 
31.3216 -33.8016 898.917 5.26313 -7.46198 199.791 22.2589 -13 -2 1 0 1 0.022629 -0.0223116 0.528607 0 0 0 
33.9733 -37.4726 998.814 5.34484 -7.23148 199.798 22.6361 -13 -2 1 0 1 0.017625 -0.0174791 0.40581 0 0 0 
36.6664 -41.0416 1098.71 5.42667 -7.05185 199.802 23.0134 -13 -2 1 0 1 0.013905 -0.0138255 0.317057 0 0 0 
39.3987 -44.5309 1198.62 5.5014 -6.91079 199.805 23.3906 -13 -2 1 0 1 0.0111086 -0.0110486 0.251618 0 0 0 
42.1662 -47.9572 1298.52 5.56695 -6.79873 199.807 23.7679 -13 -2 1 0 1 0.00898432 -0.00892462 0.202565 0 0 0 
44.9642 -51.3332 1398.42 5.62335 -6.70865 199.808 24.1451 -13 -2 1 0 1 0.00735406 -0.0072877 0.165238 0 0 0 
47.7882 -54.6686 1498.33 5.67151 -6.63533 199.809 24.5224 -13 -2 1 0 1 0.00608451 -0.00601089 0.136365 0 0 0 
50.6345 -57.9707 1598.23 5.71254 -6.57493 199.81 24.8996 -13 -2 1 0 1 0.00508693 -0.00500712 0.113768 0 0 0 
53.4997 -61.2452 1698.14 5.74753 -6.52465 199.811 25.2769 -13 -2 1 0 1 0.00429177 -0.00420796 0.0958271 0 0 0 
56.3812 -64.4967 1798.04 5.77746 -6.48237 199.811 25.6541 -13 -2 1 0 1 0.0036509 -0.00356526 0.0814178 0 0 0 
59.2765 -67.7287 1897.95 5.80313 -6.4465 199.812 26.0314 -13 -2 1 0 1 0.00313039 -0.00304444 0.0697349 0 0 0 
62.1837 -70.9441 1997.86 5.82526 -6.41582 199.812 26.4086 -13 -2 1 0 1 0.00270278 -0.00261789 0.060158 0 0 0 
