# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
20 0 -10000 0 0 200 0 -13 -2 1 0 1 -1.52715e-06 0 0.000509831 0 0 0 
20 -1.16e-05 -9900 -1.81808e-09 -4.67122e-05 200 0.377251 -13 -2 1 0 1 -1.58968e-06 9.2201e-13 0.000525414 0 0 0 
20 -4.70326e-05 -9800 -7.56133e-09 -9.53467e-05 200 0.754502 -13 -2 1 0 1 -1.65542e-06 3.89294e-12 0.000541636 0 0 0 
20 -0.000107284 -9700 -1.76977e-08 -0.000146003 200 1.13175 -13 -2 1 0 1 -1.72461e-06 9.25112e-12 0.000558533 0 0 0 
20 -0.000193391 -9600 -3.27448e-08 -0.000198788 200 1.509 -13 -2 1 0 1 -1.79745e-06 1.73805e-11 0.000576141 0 0 0 
20 -0.000306445 -9500 -5.32758e-08 -0.000253814 200 1.88625 -13 -2 1 0 1 -1.87416e-06 2.87163e-11 0.000594493 0 0 0 
20 -0.000447598 -9400 -7.9925e-08 -0.000311202 200 2.26351 -13 -2 1 0 1 -1.95502e-06 4.37532e-11 0.000613638 0 0 0 
20 -0.000618062 -9300 -1.13395e-07 -0.000371078 200 2.64076 -13 -2 1 0 1 -2.04028e-06 6.30509e-11 0.000633609 0 0 0 
20 -0.000819114 -9200 -1.54465e-07 -0.000433581 200 3.01801 -13 -2 1 0 1 -2.13024e-06 8.72454e-11 0.000654458 0 0 0 
20 -0.0010521 -9100 -2.03998e-07 -0.000498854 200 3.39526 -13 -2 1 0 1 -2.22521e-06 1.17058e-10 0.000676231 0 0 0 
20 -0.00131846 -9000 -2.62952e-07 -0.000567054 200 3.77251 -13 -2 1 0 1 -2.32551e-06 1.53304e-10 0.000698977 0 0 0 
20 -0.00161967 -8900 -3.32389e-07 -0.000638346 200 4.14976 -13 -2 1 0 1 -2.43156e-06 1.96917e-10 0.00072276 0 0 0 
20 -0.00195735 -8800 -4.13488e-07 -0.000712907 200 4.52701 -13 -2 1 0 1 -2.5437e-06 2.48945e-10 0.00074763 0 0 0 
20 -0.00233316 -8700 -5.07562e-07 -0.000790927 200 4.90426 -13 -2 1 0 1 -2.66237e-06 3.10587e-10 0.000773655 0 0 0 
20 -0.00274888 -8600 -6.16067e-07 -0.000872609 200 5.28151 -13 -2 1 0 1 -2.78806e-06 3.83202e-10 0.000800902 0 0 0 
20 -0.00320641 -8500 -7.40625e-07 -0.000958169 200 5.65876 -13 -2 1 0 1 -2.92121e-06 4.6833e-10 0.000829437 0 0 0 
20 -0.00370774 -8400 -8.8304e-07 -0.00104784 200 6.03601 -13 -2 1 0 1 -3.06245e-06 5.67739e-10 0.000859352 0 0 0 
20 -0.00425498 -8300 -1.04532e-06 -0.00114187 200 6.41326 -13 -2 1 0 1 -3.2123e-06 6.83413e-10 0.000890717 0 0 0 
20 -0.00485038 -8200 -1.22972e-06 -0.00124054 200 6.79052 -13 -2 1 0 1 -3.37142e-06 8.17635e-10 0.000923627 0 0 0 
20 -0.00549634 -8100 -1.43873e-06 -0.00134412 200 7.16777 -13 -2 1 0 1 -3.54053e-06 9.72997e-10 0.000958179 0 0 0 
