# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
20 20 -5000 0 0 200 0 -13 -2 1 0 1 -2.41527e-05 -2.41527e-05 0.00405025 0 0 0 
20.0002 19.9998 -4900 0.000753572 -0.000754047 200 0.377251 -13 -2 1 0 1 -2.61697e-05 -2.61692e-05 0.00430173 0 0 0 
20.0008 19.9992 -4800 0.00157018 -0.00157223 200 0.754502 -13 -2 1 0 1 -2.84009e-05 -2.83987e-05 0.00457435 0 0 0 
20.0018 19.9982 -4700 0.00245653 -0.00246155 200 1.13175 -13 -2 1 0 1 -3.08755e-05 -3.08701e-05 0.00487047 0 0 0 
20.0032 19.9968 -4600 0.00342019 -0.00342987 200 1.509 -13 -2 1 0 1 -3.36261e-05 -3.36152e-05 0.00519269 0 0 0 
20.0052 19.9948 -4500 0.00446973 -0.00448621 200 1.88625 -13 -2 1 0 1 -3.66886e-05 -3.66695e-05 0.00554379 0 0 0 
20.0077 19.9923 -4400 0.00561488 -0.00564078 200 2.26351 -13 -2 1 0 1 -4.01104e-05 -4.00794e-05 0.00592741 0 0 0 
20.0108 19.9891 -4300 0.00686672 -0.00690529 200 2.64076 -13 -2 1 0 1 -4.39389e-05 -4.38912e-05 0.00634702 0 0 0 
20.0146 19.9853 -4200 0.0082379 -0.00829314 200 3.01801 -13 -2 1 0 1 -4.82358e-05 -4.81653e-05 0.00680713 0 0 0 
20.0191 19.9808 -4100 0.00974287 -0.00981975 200 3.39526 -13 -2 1 0 1 -5.30718e-05 -5.29703e-05 0.00731276 0 0 0 
20.0244 19.9755 -4000 0.0113983 -0.0115029 200 3.77251 -13 -2 1 0 1 -5.85265e-05 -5.83836e-05 0.00786936 0 0 0 
20.0305 19.9693 -3900 0.0132233 -0.0133633 200 4.14976 -13 -2 1 0 1 -6.47049e-05 -6.45071e-05 0.00848414 0 0 0 
20.0376 19.9621 -3800 0.0152399 -0.0154247 200 4.52701 -13 -2 1 0 1 -7.17167e-05 -7.14464e-05 0.00916418 0 0 0 
20.0458 19.9538 -3700 0.0174739 -0.0177152 200 4.90426 -13 -2 1 0 1 -7.97053e-05 -7.93396e-05 0.00991874 0 0 0 
20.0551 19.9443 -3600 0.019955 -0.0202675 200 5.28151 -13 -2 1 0 1 -8.88384e-05 -8.83475e-05 0.0107583 0 0 0 
20.0658 19.9335 -3500 0.0227182 -0.02312 200 5.65876 -13 -2 1 0 1 -9.93109e-05 -9.86561e-05 0.0116945 0 0 0 
20.0779 19.9212 -3400 0.0258042 -0.0263183 200 6.03601 -13 -2 1 0 1 -0.000111382 -0.000110513 0.012743 0 0 0 
20.0917 19.9071 -3300 0.029261 -0.0299164 200 6.41326 -13 -2 1 0 1 -0.000125334 -0.000124183 0.0139195 0 0 0 
20.1072 19.8912 -3200 0.0331457 -0.0339788 200 6.79052 -13 -2 1 0 1 -0.000141541 -0.000140019 0.015245 0 0 0 
20.1249 19.873 -3100 0.0375256 -0.0385826 200 7.16777 -13 -2 1 0 1 -0.000160452 -0.000158444 0.0167437 0 0 0 
20.1449 19.8525 -3000 0.0424812 -0.0438215 200 7.54502 -13 -2 1 0 1 -0.000182609 -0.000179958 0.0184436 0 0 0 
20.1675 19.8291 -2900 0.048109 -0.0498086 200 7.92227 -13 -2 1 0 1 -0.000208745 -0.000205242 0.0203819 0 0 0 
20.1931 19.8025 -2800 0.054525 -0.0566821 200 8.29952 -13 -2 1 0 1 -0.000239695 -0.000235058 0.0225989 0 0 0 
20.2222 19.7722 -2700 0.0618702 -0.0646126 200 8.67677 -13 -2 1 0 1 -0.000276589 -0.000270435 0.0251477 0 0 0 
20.2552 19.7377 -2600 0.0703157 -0.0738105 200 9.05402 -13 -2 1 0 1 -0.000320848 -0.000312651 0.0280926 0 0 0 
20.2927 19.6982 -2500 0.0800715 -0.0845397 200 9.43127 -13 -2 1 0 1 -0.000374248 -0.000363284 0.0315102 0 0 0 
20.3355 19.6528 -2400 0.0913959 -0.0971316 200 9.80852 -13 -2 1 0 1 -0.000439265 -0.000424519 0.0355049 0 0 0 
20.3844 19.6007 -2300 0.104609 -0.112007 200 10.1858 -13 -2 1 0 1 -0.000518894 -0.000498943 0.0401952 0 0 0 
20.4405 19.5404 -2200 0.12011 -0.129708 200 10.563 -13 -2 1 0 1 -0.000617327 -0.000590142 0.0457422 0 0 0 
20.505 19.4704 -2100 0.138401 -0.150934 200 10.9403 -13 -2 1 0 1 -0.000740113 -0.000702769 0.0523487 0 0 0 
20.5795 19.3887 -2000 0.160113 -0.176604 200 11.3175 -13 -2 1 0 1 -0.000894601 -0.000842838 0.0602693 0 0 0 
20.6658 19.2928 -1900 0.186051 -0.207938 200 11.6948 -13 -2 1 0 1 -0.0010915 -0.00101898 0.0698617 0 0 0 
20.7664 19.1795 -1800 0.217236 -0.246573 200 12.072 -13 -2 1 0 1 -0.00134479 -0.00124203 0.081561 0 0 0 
20.8841 19.0447 -1700 0.254985 -0.294749 200 12.4493 -13 -2 1 0 1 -0.00167511 -0.00152757 0.0959823 0 0 0 
21.0227 18.8827 -1600 0.300977 -0.355556 199.999 12.8265 -13 -2 1 0 1 -0.00211182 -0.00189685 0.113949 0 0 0 
21.1868 18.6863 -1500 0.357371 -0.433359 199.999 13.2038 -13 -2 1 0 1 -0.002697 -0.00237869 0.136563 0 0 0 
21.3823 18.4455 -1400 0.426893 -0.534401 199.999 13.581 -13 -2 1 0 1 -0.00349618 -0.00301598 0.16546 0 0 0 
21.6165 18.1465 -1300 0.512915 -0.667786 199.998 13.9583 -13 -2 1 0 1 -0.00460374 -0.00386473 0.202803 0 0 0 
21.8986 17.7701 -1200 0.619406 -0.84709 199.997 14.3355 -13 -2 1 0 1 -0.00616969 -0.00500652 0.251845 0 0 0 
