# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
80 0 -5000 0 0 200 0 -13 -2 1 0 1 -9.65577e-05 0 0.00404757 0 0 0 
80 -0.000743323 -4900 -9.48502e-07 -0.00301355 200 0.377251 -13 -2 1 0 1 -0.000104618 9.72062e-10 0.00429877 0 0 0 
80 -0.00305588 -4800 -4.10567e-06 -0.00628123 200 0.754502 -13 -2 1 0 1 -0.000113532 4.33675e-09 0.00457107 0 0 0 
80 -0.00707145 -4700 -1.00165e-05 -0.00983041 200 1.13175 -13 -2 1 0 1 -0.000123415 1.0909e-08 0.00486683 0 0 0 
80 -0.0129383 -4600 -1.93481e-05 -0.0136919 200 1.509 -13 -2 1 0 1 -0.000134396 2.17357e-08 0.00518865 0 0 0 
80 -0.0208213 -4500 -3.29189e-05 -0.0179009 200 1.88625 -13 -2 1 0 1 -0.000146617 3.81595e-08 0.00553928 0 0 0 
80 -0.0309038 -4400 -5.17338e-05 -0.0224972 200 2.26351 -13 -2 1 0 1 -0.000160267 6.19105e-08 0.00592237 0 0 0 
79.9999 -0.0433905 -4300 -7.70304e-05 -0.0275262 200 2.64076 -13 -2 1 0 1 -0.000175531 9.52047e-08 0.00634137 0 0 0 
79.9999 -0.0585108 -4200 -0.000110336 -0.0330401 200 3.01801 -13 -2 1 0 1 -0.000192653 1.40904e-07 0.00680079 0 0 0 
79.9998 -0.0765214 -4100 -0.000153541 -0.0390985 200 3.39526 -13 -2 1 0 1 -0.000211913 2.02698e-07 0.00730562 0 0 0 
79.9997 -0.0977114 -4000 -0.00020899 -0.0457702 200 3.77251 -13 -2 1 0 1 -0.000233622 2.85345e-07 0.0078613 0 0 0 
79.9996 -0.122407 -3900 -0.000279605 -0.0531344 200 4.14976 -13 -2 1 0 1 -0.000258194 3.95061e-07 0.00847501 0 0 0 
79.9994 -0.150976 -3800 -0.000369033 -0.0612831 200 4.52701 -13 -2 1 0 1 -0.000286058 5.39854e-07 0.0091538 0 0 0 
79.9992 -0.183839 -3700 -0.000481853 -0.0703234 200 4.90426 -13 -2 1 0 1 -0.000317776 7.3025e-07 0.00990691 0 0 0 
79.999 -0.221469 -3600 -0.000623829 -0.08038 200 5.28151 -13 -2 1 0 1 -0.000354003 9.80022e-07 0.0107447 0 0 0 
79.9986 -0.264412 -3500 -0.000802256 -0.0915993 200 5.65876 -13 -2 1 0 1 -0.000395499 1.30721e-06 0.011679 0 0 0 
79.9981 -0.313291 -3400 -0.00102641 -0.104154 200 6.03601 -13 -2 1 0 1 -0.000443274 1.73596e-06 0.0127251 0 0 0 
79.9976 -0.368822 -3300 -0.00130812 -0.118247 200 6.41326 -13 -2 1 0 1 -0.000498421 2.29793e-06 0.0138988 0 0 0 
79.9968 -0.431834 -3200 -0.00166262 -0.134121 200 6.79052 -13 -2 1 0 1 -0.000562385 3.03583e-06 0.0152209 0 0 0 
79.9959 -0.503287 -3100 -0.00210958 -0.152064 200 7.16777 -13 -2 1 0 1 -0.000636907 4.00705e-06 0.0167156 0 0 0 
79.9947 -0.584301 -3000 -0.00267458 -0.172424 200 7.54502 -13 -2 1 0 1 -0.000724065 5.28874e-06 0.0184106 0 0 0 
79.9932 -0.676183 -2900 -0.00339113 -0.195618 200 7.92227 -13 -2 1 0 1 -0.00082667 6.98785e-06 0.020343 0 0 0 
79.9913 -0.780475 -2800 -0.0043034 -0.222154 200 8.29952 -13 -2 1 0 1 -0.000947909 9.24875e-06 0.0225528 0 0 0 
79.9888 -0.898997 -2700 -0.00547018 -0.252652 200 8.67677 -13 -2 1 0 1 -0.00109208 1.22739e-05 0.0250927 0 0 0 
79.9857 -1.03391 -2600 -0.0069702 -0.287873 200 9.05402 -13 -2 1 0 1 -0.00126455 1.63459e-05 0.0280266 0 0 0 
79.9818 -1.18781 -2500 -0.00891008 -0.328761 200 9.43127 -13 -2 1 0 1 -0.001472 2.18607e-05 0.0314305 0 0 0 
79.9767 -1.36381 -2400 -0.0114354 -0.37649 200 9.80852 -13 -2 1 0 1 -0.0017237 2.93935e-05 0.0354079 0 0 0 
79.9702 -1.56569 -2300 -0.0147471 -0.432537 200 10.1858 -13 -2 1 0 1 -0.00203074 3.97587e-05 0.0400763 0 0 0 
79.9618 -1.79804 -2200 -0.019126 -0.498774 199.999 10.563 -13 -2 1 0 1 -0.0024086 5.41604e-05 0.0455952 0 0 0 
79.9509 -2.06655 -2100 -0.0249685 -0.577589 199.999 10.9403 -13 -2 1 0 1 -0.00287753 7.43777e-05 0.0521655 0 0 0 
79.9365 -2.37824 -2000 -0.0328432 -0.672073 199.999 11.3175 -13 -2 1 0 1 -0.00346407 0.000103062 0.0600388 0 0 0 
79.9175 -2.7419 -1900 -0.0435755 -0.786244 199.998 11.6948 -13 -2 1 0 1 -0.0042066 0.000144325 0.0695686 0 0 0 
79.8923 -3.16864 -1800 -0.0583833 -0.925389 199.998 12.072 -13 -2 1 0 1 -0.00515434 0.000204428 0.0811844 0 0 0 
79.8582 -3.67262 -1700 -0.079096 -1.09657 199.997 12.4493 -13 -2 1 0 1 -0.00637903 0.000293367 0.0954923 0 0 0 
79.8117 -4.2721 -1600.01 -0.108506 -1.30925 199.996 12.8265 -13 -2 1 0 1 -0.00798098 0.0004272 0.113303 0 0 0 
79.7475 -4.99091 -1500.01 -0.150974 -1.57637 199.994 13.2038 -13 -2 1 0 1 -0.0101004 0.000632124 0.135701 0 0 0 
79.6574 -5.86047 -1400.01 -0.213437 -1.91571 199.991 13.581 -13 -2 1 0 1 -0.0129518 0.000952873 0.16429 0 0 0 
79.5289 -6.92272 -1300.02 -0.307202 -2.35199 199.986 13.9583 -13 -2 1 0 1 -0.0168322 0.00146518 0.201193 0 0 0 
79.3419 -8.23433 -1200.03 -0.451173 -2.91993 199.978 14.3355 -13 -2 1 0 1 -0.0221989 0.00230386 0.24959 0 0 0 
79.0641 -9.87259 -1100.04 -0.677707 -3.66813 199.965 14.7128 -13 -2 1 0 1 -0.0297298 0.00371231 0.314083 0 0 0 
78.6412 -11.9437 -1000.06 -1.04378 -4.66445 199.943 15.09 -13 -2 1 0 1 -0.0404121 0.00613762 0.40134 0 0 0 
77.9804 -14.5934 -900.102 -1.65196 -5.99995 199.903 15.4673 -13 -2 1 0 1 -0.0557529 0.0104337 0.521844 0 0 0 
76.9184 -18.0187 -800.166 -2.69046 -7.78565 199.83 15.8445 -13 -2 1 0 1 -0.0776884 0.018199 0.690574 0 0 0 
75.1619 -22.4712 -700.282 -4.50657 -10.12 199.693 16.2218 -13 -2 1 0 1 -0.108467 0.0324283 0.930544 0 0 0 
72.1809 -28.2252 -600.494 -7.72178 -12.9585 199.43 16.599 -13 -2 1 0 1 -0.14899 0.0582604 1.27446 0 0 0 
67.042 -35.4261 -500.89 -13.3339 -15.7312 198.934 16.9763 -13 -2 1 0 1 -0.193981 0.102503 1.76283 0 0 0 
58.2586 -43.6305 -401.624 -22.4322 -16.4577 198.055 17.3535 -13 -2 1 0 1 -0.222917 0.166945 2.43305 0 0 0 
44.0987 -50.8086 -302.911 -34.3956 -10.6712 196.731 17.7308 -13 -2 1 0 1 -0.197291 0.22731 3.27145 0 0 0 
24.4248 -52.3052 -204.918 -42.6904 6.81523 195.272 18.108 -13 -2 1 0 1 -0.102796 0.220136 4.15184 0 0 0 
4.23969 -42.5055 -107.549 -34.2388 32.5821 194.335 18.4853 -13 -2 1 0 1 -0.0113846 0.114137 4.83879 0 0 0 
-6.04128 -21.4618 -10.4582 -4.09407 47.9802 194.116 18.8625 -13 -2 1 0 1 0.00168724 0.00599395 5.11984 0 0 0 
0.857593 0.992148 86.6014 30.1404 37.5268 194.122 19.2398 -13 -2 1 0 1 0.00188722 0.00218332 4.9204 0 0 0 
20.9931 13.261 183.672 46.6195 10.642 194.199 19.617 -13 -2 1 0 1 0.0827169 0.0522511 4.31226 0 0 0 
44.2289 12.3619 280.872 44.0795 -12.4265 194.686 19.9943 -13 -2 1 0 1 0.198442 0.055464 3.47322 0 0 0 
63.9376 2.87804 378.427 34.5235 -23.6398 195.574 20.3715 -13 -2 1 0 1 0.257014 0.011569 2.62123 0 0 0 
79.0121 -9.85853 476.452 26.2871 -26.3493 196.506 20.7488 -13 -2 1 0 1 0.24667 -0.0307776 1.90718 0 0 0 
90.7626 -22.8797 574.899 21.2026 -25.4213 197.242 21.126 -13 -2 1 0 1 0.204255 -0.0514892 1.37324 0 0 0 
100.611 -35.1303 673.655 18.4967 -23.5403 197.747 21.5033 -13 -2 1 0 1 0.158444 -0.0553239 0.9954 0 0 0 
109.488 -46.4324 772.616 17.1786 -21.7118 198.075 21.8805 -13 -2 1 0 1 0.120264 -0.051002 0.732861 0 0 0 
117.91 -56.8959 871.71 16.5943 -20.1992 198.284 22.2578 -13 -2 1 0 1 0.0911636 -0.0439897 0.549445 0 0 0 
126.144 -66.686 970.888 16.3814 -19.0113 198.419 22.6351 -13 -2 1 0 1 0.0697189 -0.036857 0.419762 0 0 0 
134.322 -75.952 1070.12 16.3506 -18.0918 198.508 23.0123 -13 -2 1 0 1 0.0540065 -0.0305379 0.326489 0 0 0 
142.508 -84.8122 1169.39 16.4056 -17.379 198.567 23.3896 -13 -2 1 0 1 0.0424023 -0.0252353 0.25808 0 0 0 
150.733 -93.3568 1268.69 16.4972 -16.8219 198.607 23.7668 -13 -2 1 0 1 0.0337664 -0.0209133 0.20711 0 0 0 
159.007 -101.654 1368 16.6008 -16.3817 198.636 24.1441 -13 -2 1 0 1 0.0272504 -0.0174212 0.168476 0 0 0 
167.334 -109.753 1467.32 16.7044 -16.0297 198.656 24.5213 -13 -2 1 0 1 0.0222534 -0.0145958 0.138693 0 0 0 
175.711 -117.694 1566.65 16.8024 -15.7449 198.67 24.8986 -13 -2 1 0 1 0.0183829 -0.0123132 0.115451 0 0 0 
184.135 -125.507 1665.99 16.8924 -15.5119 198.681 25.2758 -13 -2 1 0 1 0.0153433 -0.010458 0.0970583 0 0 0 
192.602 -133.213 1765.33 16.9739 -15.3193 198.689 25.6531 -13 -2 1 0 1 0.0129257 -0.00894003 0.0823236 0 0 0 
201.107 -140.831 1864.68 17.047 -15.1584 198.695 26.0303 -13 -2 1 0 1 0.0109839 -0.00769181 0.0704033 0 0 0 
209.648 -148.376 1964.03 17.1124 -15.0229 198.7 26.4076 -13 -2 1 0 1 0.00940681 -0.00665756 0.060654 0 0 0 
218.219 -155.858 2063.38 17.1707 -14.9078 198.703 26.7848 -13 -2 1 0 1 0.00811413 -0.00579533 0.052609 0 0 0 
226.817 -163.286 2162.73 17.2227 -14.8093 198.706 27.1621 -13 -2 1 0 1 0.00704639 -0.00507271 0.0459197 0 0 0 
235.44 -170.669 2262.08 17.2692 -14.7243 198.708 27.5393 -13 -2 1 0 1 0.00615528 -0.00446192 0.0403068 0 0 0 
244.086 -178.012 2361.44 17.3108 -14.6506 198.71 27.9166 -13 -2 1 0 1 0.00540732 -0.00394358 0.0355678 0 0 0 
