#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmax
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-29.3874 -20.832 1000 -17.2503 -32.8 196.536 3.81126 -13 1 1 0 1
-13.5051 14.6841 2000 -51.428 9.65711 193.033 7.75587 -13 1 1 0 1
-11.0046 4.54023 3000 -43.8988 -38.8017 191.226 11.7164 -13 1 1 0 1
-0.89491 11.238 4000 -57.4328 21.9095 190.319 15.7665 -13 1 1 0 1
-5.87177 8.05063 5000 -54.1021 -32.4872 189.783 19.7817 -13 1 1 0 1
-1.44572 11.7627 6000 -57.0839 31.6754 189.045 23.8682 -13 1 1 0 1
-14.1798 3.89572 7000 -65.4096 -26.1767 187.18 27.9345 -13 1 1 0 1
-37.9076 31.0579 8000 -73.4483 43.6756 180.825 32.1723 -13 1 1 0 1
-254.611 39.2465 9000 -131.083 17.7762 150.004 37.0886 -13 1 1 0 1
19.3704 14.7537 1000 -12.5502 -7.88059 199.45 3.80801 -13 2 1 0 1
24.3405 -16.9641 2000 3.51006 -0.82492 199.967 7.59106 -13 2 1 0 1
17.8514 9.69056 3000 16.4616 11.2924 199.001 11.3772 -13 2 1 0 1
1.29714 -2.73947 4000 22.7565 -15.3439 198.108 15.1918 -13 2 1 0 1
-12.6987 -9.21124 5000 20.2508 11.3375 198.649 19.0078 -13 2 1 0 1
-23.4349 16.1021 6000 6.23096 -6.0867 199.81 22.8041 -13 2 1 0 1
-23.9446 -14.0201 7000 -8.00373 -6.45315 199.736 26.5824 -13 2 1 0 1
-10.8223 9.206 8000 -20.1168 13.1877 198.548 30.381 -13 2 1 0 1
2.9764 3.53379 9000 -23.5677 -13.6558 198.137 34.198 -13 2 1 0 1
18.114 -11.5101 10000 -14.7365 11.7063 199.113 38.0107 -13 2 1 0 1
25.5644 15.7965 11000 -2.11635 0.349329 199.988 41.795 -13 2 1 0 1
18.8357 -14.6086 12000 13.9669 -8.58092 199.327 45.5796 -13 2 1 0 1
7.10755 2.45737 13000 22.7544 13.795 198.222 49.385 -13 2 1 0 1
-9.88682 5.17199 14000 20.4916 -15.0203 198.38 53.2064 -13 2 1 0 1
-22.0239 -14.2152 15000 11.8476 5.72149 199.567 57.0064 -13 2 1 0 1
-23.6591 17.5404 16000 -5.26178 2.10944 199.92 60.7887 -13 2 1 0 1
-16.338 -8.33264 17000 -17.9045 -11.7132 198.852 64.5775 -13 2 1 0 1
0.337111 1.63836 18000 -22.6648 15.6892 198.091 68.3942 -13 2 1 0 1
14.56 10.208 19000 -19.2661 -10.5854 198.788 72.2087 -13 2 1 0 1
23.8975 -16.2564 20000 -4.52158 4.96067 199.887 76.002 -13 2 1 0 1
22.207 14.222 21000 9.06503 8.23444 199.625 79.7805 -13 2 1 0 1
-8.70982 1.92803 1000 -8.85801 10.5581 199.525 3.78557 -13 3 1 0 1
-6.31964 -3.4963 2000 4.03754 13.9047 199.475 7.56952 -13 3 1 0 1
8.45109 -12.1332 3000 -8.06253 2.84394 199.817 11.3548 -13 3 1 0 1
-5.57341 -15.8133 4000 -4.99427 -0.955047 199.935 15.1283 -13 3 1 0 1
10.0955 -4.80152 5000 6.43133 -10.3473 199.629 18.9099 -13 3 1 0 1
4.85756 -0.991562 6000 -5.54841 -14.0197 199.431 22.6929 -13 3 1 0 1
-5.67248 10.8435 7000 9.75022 -5.66339 199.682 26.4806 -13 3 1 0 1
6.93713 15.5485 8000 3.4803 -2.81341 199.95 30.2558 -13 3 1 0 1
-11.6705 7.69174 9000 -3.85331 8.84676 199.767 34.0353 -13 3 1 0 1
-3.06791 5.08394 10000 6.4635 13.2856 199.454 37.8161 -13 3 1 0 1
2.56576 -8.7566 11000 -10.7575 8.00096 199.55 41.6053 -13 3 1 0 1
-7.70748 -14.1438 12000 -1.74566 6.36043 199.891 45.3831 -13 3 1 0 1
12.4656 -10.0386 13000 1.00034 -6.71761 199.885 49.1618 -13 3 1 0 1
1.07422 -8.83753 14000 -6.91598 -11.6315 199.542 52.9398 -13 3 1 0 1
0.682147 6.08378 15000 11.0263 -9.74832 199.458 56.7291 -13 3 1 0 1
7.88201 11.7298 16000 -0.0769891 -9.45768 199.776 60.5097 -13 3 1 0 1
-12.3912 11.6436 17000 1.94187 4.1158 199.948 64.2891 -13 3 1 0 1
0.968142 12.0326 18000 6.85299 9.17429 199.672 68.0644 -13 3 1 0 1
-3.80011 -3.11835 19000 -10.594 10.7049 199.432 71.8523 -13 3 1 0 1
-7.31953 -8.38306 20000 1.69966 11.9461 199.636 75.6352 -13 3 1 0 1
12.6529 -11.9058 21000 -4.31837 -1.3485 199.949 79.4165 -13 3 1 0 1
-7.34386 21.7948 1000 -2.69664 12.7018 199.578 3.78133 -13 4 1 0 1
4.57916 4.96531 2000 18.1376 14.0618 198.679 7.57778 -13 4 1 0 1
1.35252 -9.60387 3000 -5.63666 21.2166 198.792 11.3863 -13 4 1 0 1
-18.805 -13.5994 4000 8.28972 7.36541 199.692 15.1794 -13 4 1 0 1
6.55242 -24.8282 5000 0.38107 -5.36528 199.928 18.959 -13 4 1 0 1
-11.7539 -10.0674 6000 -15.4586 -11.0615 199.095 22.7447 -13 4 1 0 1
0.836795 1.09856 7000 5.54199 -23.1372 198.58 26.5507 -13 4 1 0 1
14.0707 9.67535 8000 -13.8476 -11.339 199.198 30.3533 -13 4 1 0 1
-6.22516 25.2888 9000 1.79596 -3.18113 199.967 34.1391 -13 4 1 0 1
17.2981 13.7777 10000 10.5516 6.92814 199.601 37.9174 -13 4 1 0 1
-2.88621 7.6296 11000 -4.9655 22.0304 198.721 41.7146 -13 4 1 0 1
-7.72158 -4.66019 12000 17.4638 13.8634 198.753 45.5213 -13 4 1 0 1
4.96667 -22.0957 13000 -3.69582 11.2734 199.648 49.3175 -13 4 1 0 1
-20.5547 -15.7001 14000 -4.09974 -1.88075 199.949 53.0954 -13 4 1 0 1
4.72627 -15.6119 15000 3.82015 -18.0566 199.147 56.8821 -13 4 1 0 1
0.652174 -0.849699 16000 -18.8063 -14.5984 198.578 60.6854 -13 4 1 0 1
-3.10607 15.9987 17000 5.04949 -17.7567 199.146 64.4907 -13 4 1 0 1
20.6994 15.4701 18000 -2.94886 -3.42313 199.949 68.2755 -13 4 1 0 1
-6.27373 21.7388 19000 -2.20784 11.6288 199.649 72.0553 -13 4 1 0 1
6.63992 6.61132 20000 17.6241 13.7831 198.745 75.8495 -13 4 1 0 1
1.90511 -9.66761 21000 -6.61662 21.0428 198.78 79.658 -13 4 1 0 1
-4.18561 -15.9622 1000 22.472 -19.897 197.735 3.809 -13 5 1 0 1
-6.91088 16.4185 2000 -16.8352 -24.4315 197.787 7.66228 -13 5 1 0 1
