#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/betmin
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-39.2337 38.2238 500 30.7136 8.87911 197.428 1.90035 -13 1 1 0 1
41.1988 -89.4384 1500 60.2904 40.3829 186.371 5.77388 -13 1 1 0 1
-30.8142 113.066 2500 72.7242 14.456 185.748 9.73121 -13 1 1 0 1
21.9108 -122.241 3500 87.1734 18.0522 179.095 13.7388 -13 1 1 0 1
-11.3588 128.977 4500 82.8427 5.91862 181.94 17.7726 -13 1 1 0 1
2.04534 -130.907 5500 93.5783 3.32333 176.726 21.8227 -13 1 1 0 1
8.75612 138.382 6500 89.5043 -10.1063 178.569 25.8958 -13 1 1 0 1
-13.0395 -151.269 7500 109.03 4.66971 167.603 30.0323 -13 1 1 0 1
53.9916 181.236 8500 104.588 -101.788 136.75 34.4631 -13 1 1 0 1
-3.28878 44.2501 500 29.877 13.1838 197.316 1.90877 -13 2 1 0 1
-3.07151 -13.4755 1500 8.93375 -15.2339 199.219 5.70078 -13 2 1 0 1
2.06658 -26.8393 2500 -17.1276 10.9468 198.964 9.48179 -13 2 1 0 1
-0.00489383 54.1765 3500 -36.6296 -5.59245 196.538 13.2823 -13 2 1 0 1
-2.31132 -57.5384 4500 -37.5535 -1.68032 196.436 17.1012 -13 2 1 0 1
3.80271 36.5324 5500 -24.1638 13.3571 198.085 20.9088 -13 2 1 0 1
-2.99635 1.95302 6500 0.791675 -11.8584 199.647 24.6931 -13 2 1 0 1
1.12452 -39.4444 7500 26.8493 11.0187 197.883 28.4788 -13 2 1 0 1
1.65811 58.3147 8500 37.8679 -3.46811 196.352 32.2885 -13 2 1 0 1
-3.58768 -52.4315 9500 35.0966 -8.73051 196.703 36.1068 -13 2 1 0 1
3.59819 23.5497 10500 15.6728 10.3062 199.118 39.905 -13 2 1 0 1
-2.32418 17.173 11500 -11.9998 -14.783 199.092 43.6857 -13 2 1 0 1
-0.462353 -49.2264 12500 -31.6482 7.93591 197.321 47.4796 -13 2 1 0 1
2.54445 59.0044 13500 -39.8057 2.61769 195.981 51.2961 -13 2 1 0 1
-3.54306 -44.1378 14500 -28.9608 -6.82514 197.774 55.1093 -13 2 1 0 1
3.3763 8.69051 15500 -5.27372 15.9288 199.295 58.8984 -13 2 1 0 1
-1.21416 31.167 16500 19.6752 -10.9217 198.73 62.6805 -13 2 1 0 1
-0.903239 -55.6609 17500 37.7382 4.02775 196.366 66.484 -13 2 1 0 1
2.80678 56.5121 18500 36.8693 2.34212 196.558 70.3032 -13 2 1 0 1
-3.67934 -32.5511 19500 21.5539 -13.9491 198.345 74.108 -13 2 1 0 1
2.98281 -6.53492 20500 -3.99105 11.5841 199.624 77.8906 -13 2 1 0 1
-5.93992 39.921 21500 -27.7951 -16.3332 197.385 81.6792 -13 2 1 0 1
22.6305 1.14079 500 -3.07758 -19.5941 199.014 1.89269 -13 3 1 0 1
-32.4724 -6.8336 1500 4.44034 -18.954 199.05 5.67741 -13 3 1 0 1
23.7481 10.7512 2500 12.3304 -16.4558 198.94 9.46299 -13 3 1 0 1
-3.82649 -10.1629 3500 -0.952688 -3.61086 199.965 13.2418 -13 3 1 0 1
-18.2203 4.60081 4500 9.40409 14.4518 199.255 17.0184 -13 3 1 0 1
31.203 3.19666 5500 -4.00915 18.042 199.144 20.8009 -13 3 1 0 1
-28.7178 -9.36301 6500 -9.63523 20.3994 198.723 24.5874 -13 3 1 0 1
12.252 10.9688 7500 -0.0941316 8.46196 199.821 28.3689 -13 3 1 0 1
10.5509 -7.12085 8500 -12.0015 -9.00152 199.437 32.1451 -13 3 1 0 1
